ESTADÍSTICAS DE VIOLENCIA INTRAFAMILIAR,,,,,,,,,,,,
Valores de las variables,,,,,,,,,,,,
,,,,,,,,,,,,
Código,Descripción del código,Valor,Etiqueta,,,,,,,,,
,,,,,,,,,,,,
DATOS DE REGISTRO,,,,,,,,,,,,
,,,,,,,,,,,,
ANO_EMISION,Año de emisión o registro de la denuncia en las fuentes de información,2020,2020,,,,,,,,,
,,,,,,,,,,,,
MES_EMISION,Mes de emisión o registro de la denuncia,1,Enero,,,,,,,,,
,,2,Febrero,,,,,,,,,
,,3,Marzo,,,,,,,,,
,,4,Abril,,,,,,,,,
,,5,Mayo,,,,,,,,,
,,6,Junio,,,,,,,,,
,,7,Julio,,,,,,,,,
,,8,Agosto,,,,,,,,,
,,9,Septiembre,,,,,,,,,
,,10,Octubre,,,,,,,,,
,,11,Noviembre,,,,,,,,,
,,12,Diciembre,,,,,,,,,
,,,,,,,,,,,,
DIA_EMISION,Día de emisión o registro de la denuncia,1 a 31,día de registro ,,,,,,,,,
,,,,,,,,,,,,
DEPTO_MCPIO,Departamento y municipio de registro,101,Guatemala,,,,,,,,,
,,102,Santa Catarina Pinula,,,,,,,,,
,,103,San José Pinula,,,,,,,,,
,,104,San José del Golfo,,,,,,,,,
,,105,Palencia,,,,,,,,,
,,106,Chinautla,,,,,,,,,
,,107,San Pedro Ayampuc,,,,,,,,,
,,108,Mixco,,,,,,,,,
,,109,San Pedro Sacatepéquez,,,,,,,,,
,,110,San Juan Sacatepéquez,,,,,,,,,
,,111,San Raymundo,,,,,,,,,
,,112,Chuarrancho,,,,,,,,,
,,113,Fraijanes,,,,,,,,,
,,114,Amatitlán,,,,,,,,,
,,115,Villa Nueva,,,,,,,,,
,,116,Villa Canales,,,,,,,,,
,,117,Petapa,,,,,,,,,
,,201,Guastatoya,,,,,,,,,
,,202,Morazán,,,,,,,,,
,,203,San Agustín Acasaguastlán,,,,,,,,,
,,204,San Cristóbal Acasaguastlán,,,,,,,,,
,,205,El Jícaro,,,,,,,,,
,,206,Sansare,,,,,,,,,
,,207,Sanarate,,,,,,,,,
,,208,San Antonio La Paz,,,,,,,,,
,,301,Antigua Guatemala,,,,,,,,,
,,302,Jocotenango,,,,,,,,,
,,303,Pastores,,,,,,,,,
,,304,Sumpango,,,,,,,,,
,,305,Santo Domingo Xenacoj,,,,,,,,,
,,306,Santiago Sacatepéquez,,,,,,,,,
,,307,San Bartolomé Milpas Altas,,,,,,,,,
,,308,San Lucas Sacatepéquez,,,,,,,,,
,,309,Santa Lucía Milpas Altas,,,,,,,,,
,,310,Magdalena Milpas Altas,,,,,,,,,
,,311,Santa María de Jesús,,,,,,,,,
,,312,Ciudad Vieja,,,,,,,,,
,,313,San Miguel Dueñas,,,,,,,,,
,,314,Alotenango,,,,,,,,,
,,315,San Antonio Aguas Calientes,,,,,,,,,
,,316,Santa Catarina Barahona,,,,,,,,,
,,401,Chimaltenango,,,,,,,,,
,,402,San José Poaquil,,,,,,,,,
,,403,San Martín Jilotepeque,,,,,,,,,
,,404,Comalapa,,,,,,,,,
,,405,Santa Apolonia,,,,,,,,,
,,406,Tecpán Guatemala,,,,,,,,,
,,407,Patzún,,,,,,,,,
,,408,Pochuta,,,,,,,,,
,,409,Patzicía,,,,,,,,,
,,410,Santa Cruz Balanyá,,,,,,,,,
,,411,Acatenango,,,,,,,,,
,,412,Yepocapa,,,,,,,,,
,,413,San Andrés Itzapa,,,,,,,,,
,,414,Parramos,,,,,,,,,
,,415,Zaragoza,,,,,,,,,
,,416,El Tejar,,,,,,,,,
,,501,Escuintla,,,,,,,,,
,,502,Santa Lucía Cotzumalguapa,,,,,,,,,
,,503,La Democracia,,,,,,,,,
,,504,Siquinalá,,,,,,,,,
,,505,Masagua,,,,,,,,,
,,506,Tiquisate,,,,,,,,,
,,507,La Gomera,,,,,,,,,
,,508,Guanagazapa,,,,,,,,,
,,509,San José,,,,,,,,,
,,510,Iztapa,,,,,,,,,
,,511,Palín,,,,,,,,,
,,512,San Vicente Pacaya,,,,,,,,,
,,513,Nueva Concepción,,,,,,,,,
,,514,Sipacate,,,,,,,,,
,,601,Cuilapa,,,,,,,,,
,,602,Barberena,,,,,,,,,
,,603,Santa Rosa de Lima,,,,,,,,,
,,604,Casillas,,,,,,,,,
,,605,San Rafael Las Flores,,,,,,,,,
,,606,Oratorio,,,,,,,,,
,,607,San Juan Tecuaco,,,,,,,,,
,,608,Chiquimulilla,,,,,,,,,
