Salas (mixtas),Tribunales de Sentencia,Juzgados de Primera Instancia Penal,"Juzgados de Primera Instancia Penal, Narcoactividad y Delitos contral el Ambiente",Juzgados de Adolescentes y Niñez,Juzgados de Ejecución,Juzgados de Paz Penal y Comunitarios,Juzgados de Violencia Contra la Mujer y Femicidio,Tribunales de sentencia Violencia Contra la Mujer y Femicidio,Juzgados y Tribunales de Mayor Riesgo,Total,Fiscalías Regionales,Fiscalías Distritales,Fiscalías Municipales,Agencias Fiscales ,Coordinadora departamental,Coordinadora municipal,Secciones especiales,TOTAL CORDINACIONES ,Comisarias (oficina de atención a la víctima) ,Estaciones ,Subestaciones,División de investigación criminal (DEIC),Totales,DEPARTAMENTO_NORM,MUNICIPIO_NORM_MATCH
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,acatenango
0,3,0,2,1,0,0,1,1,0,8,1,1,3,17,0.0,0.0,0.0,1,1,6,22,1,30,jutiapa,agua blanca
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,aguacatan
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,almolonga
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,alotenango
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,amatitlan
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,antigua guatemala
0,3,0,2,1,0,0,1,1,0,8,1,1,3,17,0.0,0.0,0.0,1,1,6,22,1,30,jutiapa,asuncion mita
0,3,0,2,1,0,0,1,1,0,8,1,1,3,17,0.0,0.0,0.0,1,1,6,22,1,30,jutiapa,atescatempa
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,ayutla
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,barberena
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,cabanas
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,cabrican
