DEPARTAMENTO_NORM,MUNICIPIO_NORM_MATCH,cementerio,centro comunitario,centro de atención permanente,centro de salud,direccion,escuela,hospital,otro,puesto de salud
alta verapaz,actela,0,0,0,0,0,0,0,0,1
alta verapaz,bolonco,0,0,0,0,0,0,0,0,1
alta verapaz,cahabon,0,0,1,0,0,0,0,0,0
alta verapaz,cahaboncito,0,0,0,0,0,0,0,0,1
alta verapaz,campat,0,0,0,0,0,0,0,0,1
alta verapaz,campur / carcha,0,0,1,0,0,0,0,0,0
alta verapaz,caquigual,0,0,0,0,0,0,0,0,1
alta verapaz,carcha,0,0,1,0,0,0,0,0,0
alta verapaz,chacalte,0,0,0,0,0,0,0,0,1
alta verapaz,chahal,0,0,1,0,0,0,0,0,0
alta verapaz,chajmaic,0,0,0,0,0,0,0,0,1
alta verapaz,chamelco,0,0,1,0,0,0,0,0,0
alta verapaz,chamil,0,0,0,0,0,0,0,0,1
alta verapaz,chiacal,0,0,0,0,0,0,0,0,1
alta verapaz,chijou,0,0,0,0,0,0,0,0,1
alta verapaz,chisec,0,0,1,0,0,0,0,0,0
alta verapaz,chitocan i,0,0,0,0,0,0,0,0,1
alta verapaz,choval,0,0,0,0,0,0,0,0,1
alta verapaz,coban,0,0,0,0,0,1,1,2,0
alta verapaz,cojaj,0,0,0,0,0,0,0,0,1
alta verapaz,cucanja,0,0,0,0,0,0,0,0,1
alta verapaz,el rancho,0,0,0,0,0,0,0,0,1
alta verapaz,fray bartolome de las casas,0,0,0,0,0,0,1,0,0
alta verapaz,la tinta,0,0,0,1,0,0,0,0,0
alta verapaz,lanquin,0,0,1,0,0,0,0,0,0
alta verapaz,las camelias,0,0,0,0,0,0,0,0,1
alta verapaz,najquitob,0,0,0,0,0,0,0,0,1
alta verapaz,palestina,0,0,0,0,0,0,0,0,1
alta verapaz,panzos,0,0,1,0,0,0,0,0,0
alta verapaz,pasmolon,0,0,0,0,0,0,0,0,1
alta verapaz,pocola,0,0,0,0,0,0,0,0,1
alta verapaz,puribal,0,0,0,0,0,0,0,0,1
alta verapaz,raxquix,0,0,0,0,0,0,0,0,1
alta verapaz,raxruha,0,0,0,0,0,0,0,0,1
alta verapaz,sacquil,0,0,0,0,0,0,0,0,1
alta verapaz,salacuim,0,0,0,0,0,0,0,0,1
alta verapaz,san agustin,0,0,0,0,0,0,0,0,1
alta verapaz,san cristobal verapaz,0,0,0,0,0,0,0,1,0
alta verapaz,santa cecilia chajaneb,0,0,0,0,0,0,0,0,1
alta verapaz,santa cruz verapaz,0,0,1,0,0,0,0,0,0
alta verapaz,santa elena,0,0,0,0,0,0,0,0,1
alta verapaz,saxoc,0,0,0,0,0,0,0,0,1
alta verapaz,secocpur,0,0,0,0,0,0,0,0,1
alta verapaz,semesche,0,0,0,0,0,0,0,0,1
alta verapaz,senahu,0,0,1,0,0,0,0,0,0
alta verapaz,sepoc,0,0,0,0,0,0,0,0,1
alta verapaz,tactic,0,0,1,0,0,0,0,0,0
alta verapaz,tamahu,0,0,1,0,0,0,0,0,0
alta verapaz,teleman / panzos,0,0,1,0,0,0,0,0,0
alta verapaz,tucuru,0,0,1,0,0,0,0,0,0
alta verapaz,tuila,0,0,0,0,0,0,0,0,1
baja verapaz,agua caliente,0,0,0,0,0,0,0,0,1
baja verapaz,cebollal,0,0,0,0,0,0,0,0,1
baja verapaz,chiac,0,0,0,0,0,0,0,0,1
baja verapaz,chicholom,0,0,0,0,0,0,0,0,1
baja verapaz,chicruz,0,0,0,0,0,0,0,0,1
baja verapaz,chicuxtin,0,0,0,0,0,0,0,0,1
baja verapaz,chilajon,0,0,0,0,0,0,0,0,1
baja verapaz,chilasco,0,0,0,0,0,0,0,0,1
baja verapaz,chirramos,0,0,0,0,0,0,0,0,1
baja verapaz,chirrum,0,0,0,0,0,0,0,0,1
baja verapaz,chiticoy,0,0,0,0,0,0,0,0,1
baja verapaz,chitomax,0,0,0,0,0,0,0,0,1
baja verapaz,chivaquito,0,0,0,0,0,0,0,0,1
baja verapaz,chixolop,0,0,0,0,0,0,0,0,1
baja verapaz,choven,0,0,0,0,0,0,0,0,1
baja verapaz,chuachacalte,0,0,0,0,0,0,0,0,1
baja verapaz,chuaperol,0,0,0,0,0,0,0,0,1
baja verapaz,chuategua arriba,0,0,0,0,0,0,0,0,1
baja verapaz,chupel,0,0,0,0,0,0,0,0,1
baja verapaz,cimietos cala,0,0,0,0,0,0,0,0,1
baja verapaz,civija,0,0,0,0,0,0,0,0,1
baja verapaz,cola de mico,0,0,0,0,0,0,0,0,1
baja verapaz,colonia el naranjo,0,0,0,0,0,0,0,0,1
baja verapaz,concul,0,0,0,0,0,0,0,0,1
baja verapaz,cruz de piedra,0,0,0,0,0,0,0,0,1
baja verapaz,cubulco,0,0,1,0,0,0,0,0,0
baja verapaz,eben-ezer,0,0,0,0,0,0,0,0,1
baja verapaz,el amate,0,0,0,0,0,0,0,0,1
baja verapaz,el astillero,0,0,0,0,0,0,0,0,1
baja verapaz,el cacao,0,0,0,0,0,0,0,0,1
baja verapaz,el chol,0,0,1,0,0,0,0,0,0
baja verapaz,el colmenar,0,0,0,0,0,0,0,0,1
baja verapaz,el comunal,0,0,0,0,0,0,0,0,1
baja verapaz,el esfuerzo chejel,0,0,0,0,0,0,0,0,1
baja verapaz,el jicaro,0,0,0,0,0,0,0,0,1
baja verapaz,el nance,0,0,0,0,0,0,0,0,1
baja verapaz,el tablon,0,0,0,0,0,0,0,0,1
baja verapaz,el tempisque,0,0,0,0,0,0,0,0,1
baja verapaz,granados,0,0,0,1,0,0,0,0,0
baja verapaz,guachipilin,0,0,0,0,0,0,0,0,1
baja verapaz,helvetia,0,0,0,0,0,0,0,0,1
baja verapaz,herederos,0,0,0,0,0,0,0,0,1
baja verapaz,ixchel,0,0,0,0,0,0,0,0,1
baja verapaz,jalaute,0,0,0,0,0,0,0,0,1
baja verapaz,joya de ramos,0,0,0,0,0,0,0,0,1
baja verapaz,la canoa,0,0,0,0,0,0,0,0,1
baja verapaz,la ceiba,0,0,0,0,0,0,0,0,1
baja verapaz,la estancia,0,0,0,0,0,0,0,0,1
baja verapaz,la laguna patzijom,0,0,0,0,0,0,0,0,1
baja verapaz,la pinada,0,0,0,0,0,0,0,0,1
baja verapaz,las anonas,0,0,0,0,0,0,0,0,1
baja verapaz,las cuevas,0,0,0,0,0,0,0,0,1
baja verapaz,las limas,0,0,0,0,0,0,0,0,1
baja verapaz,las minas,0,0,0,0,0,0,0,0,1
baja verapaz,llano grande,0,0,0,0,0,0,0,0,1
baja verapaz,lo de gomez,0,0,0,0,0,0,0,0,1
baja verapaz,los amates,0,0,0,0,0,0,0,0,1
baja verapaz,los cerritos,0,0,0,0,0,0,0,0,1
baja verapaz,los chuyes,0,0,0,0,0,0,0,0,1
baja verapaz,los jobos,0,0,0,0,0,0,0,0,1
baja verapaz,manzanote,0,0,0,0,0,0,0,0,1
baja verapaz,matanzas,0,0,0,0,0,0,0,0,1
baja verapaz,mocohan,0,0,0,0,0,0,0,0,1
baja verapaz,monjon,0,0,0,0,0,0,0,0,1
baja verapaz,monte blanco,0,0,0,0,0,0,0,0,1
baja verapaz,nimacabaj,0,0,0,0,0,0,0,0,1
baja verapaz,nuevo amanecer,0,0,0,0,0,0,0,0,1
baja verapaz,ojo de agua,0,0,0,0,0,0,0,0,1
baja verapaz,pacalaj,0,0,0,0,0,0,0,0,1
baja verapaz,pachalum,0,0,0,0,0,0,0,0,1
baja verapaz,pachojop,0,0,0,0,0,0,0,0,1
baja verapaz,pacux,0,0,0,0,0,0,0,0,1
baja verapaz,pahoj,0,0,0,0,0,0,0,0,1
baja verapaz,pajales,0,0,0,0,0,0,0,0,1
baja verapaz,pamiscalche,0,0,0,0,0,0,0,0,1
baja verapaz,pampacay,0,0,0,0,0,0,0,0,1
baja verapaz,panchisivic,0,0,0,0,0,0,0,0,1
baja verapaz,panima,0,0,0,0,0,0,0,0,1
baja verapaz,panimaquito,0,0,0,0,0,0,0,0,1
baja verapaz,patzocom,0,0,0,0,0,0,0,0,1
baja verapaz,patzulup,0,0,0,0,0,0,0,0,1
baja verapaz,piedras blancas alibalabaj,0,0,0,0,0,0,0,0,1
baja verapaz,plan sanchez,0,0,0,0,0,0,0,0,1
baja verapaz,portezuelo volcancillo,0,0,0,0,0,0,0,0,1
baja verapaz,purulha,0,0,1,0,0,0,0,0,0
baja verapaz,quebrada honda,0,0,0,0,0,0,0,0,1
baja verapaz,rabinal,0,0,1,0,0,0,0,0,0
baja verapaz,rancho viejo,0,0,0,0,0,0,0,0,1
baja verapaz,raxjuth,0,0,0,0,0,0,0,0,1
baja verapaz,rio negro,0,0,0,0,0,0,0,0,1
baja verapaz,rivaco,0,0,0,0,0,0,0,0,1
baja verapaz,rodeo las vegas,0,0,0,0,0,0,0,0,1
baja verapaz,sacaquej,0,0,0,0,0,0,0,0,1
baja verapaz,sacsamani,0,0,0,0,0,0,0,0,1
baja verapaz,salama,0,0,0,1,0,0,1,1,0
baja verapaz,saltan,0,0,0,0,0,0,0,0,1
baja verapaz,san francisco,0,0,0,0,0,0,0,0,1
baja verapaz,san gabriel,0,0,0,0,0,0,0,0,1
baja verapaz,san ignacio,0,0,0,0,0,0,0,0,1
baja verapaz,san isidro,0,0,0,0,0,0,0,0,1
baja verapaz,san jeronimo,0,0,1,1,0,0,0,0,0
