0|1|2|3|5
Directores y gerentes||||Directores y gerentes
Directores y gerentes||||Directores ejecutivos, personal directivo de la administración pública y
Directores y gerentes||||
Directores y gerentes||||miembros del poder ejecutivo y de los cuerpos legislativos
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos||Miembros del poder ejecutivo y de los cuerpos legislativos
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Miembros del poder legislativo
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Alcalde municipal
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Asesor del poder legislativo
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Asesor institución del poder ejecutivo
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Asistente proyecto de gobierno
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Canciller de la república
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Designado presidencial
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Diputado presidente de comisión
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Diputado del congreso nacional de la república
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Diputado suplente del congreso nacional de la república
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Director del área de investigación legislativa
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Gobernador departamental
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Jefe de bancada
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Magistrado del Tribunal Supremo Electoral
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Presidente de la república
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Presidente del congreso nacional de la república
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Presidente del tribunal superior de cuentas
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Presidente del tribunal supremo electoral
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Miembros del poder legislativo|Procurador general de la república
