DIVISION,YEAR,VARIABLE_ANTECEDENTE_ENC,VARIABLE_CONSECUENTE_ENC,VARIABLE_ANTECEDENTE,VARIABLE_CONSECUENTE,ANTECEDENT,CONSECUENT,VARIABLE_ANTECEDENTE_VALOR,VARIABLE_CONSECUENTE_VALOR,N_ROWS,CHI_2,P_VALUE,EXPECTED_MIN,SUPPORT,CONFIDENCE,LIFT,CONVICTION
mujeres,2008,AGR_ALFAB_ENC,AGR_SEXO_ENC,AGR_ALFAB,AGR_SEXO,AGR_ALFAB_ENC=0,AGR_SEXO_ENC=0,alfabeta,hombres,15325,104.9259098706465,1.2678914437937444e-24,73.3115823817292,0.8307340946166395,0.9734668909619207,1.006298826576151,1.2296495721524874
mujeres,2008,AGR_ALFAB_ENC,VIC_ALFAB_ENC,AGR_ALFAB,VIC_ALFAB,VIC_ALFAB_ENC=0,AGR_ALFAB_ENC=0,alfabeta,alfabeta,15292,2159.9110261166793,0.0,511.75954747580437,0.7144258435783416,0.9256121325086842,1.0847161261646716,1.9718000333155357
mujeres,2008,AGR_ALFAB_ENC,VIC_ALFAB_ENC,AGR_ALFAB,VIC_ALFAB,AGR_ALFAB_ENC=0,VIC_ALFAB_ENC=0,alfabeta,alfabeta,15292,2159.9110261166793,0.0,511.75954747580437,0.7144258435783416,0.8372289064296115,1.0847161261646716,1.401713952087208
mujeres,2008,AGR_ALFAB_ENC,VIC_REL_AGR_ENC,AGR_ALFAB,VIC_REL_AGR,VIC_REL_AGR_ENC=1,AGR_ALFAB_ENC=0,esposos(as),alfabeta,15325,235.89051829905966,7.364607517073965e-51,235.91667210440457,0.400326264274062,0.8791917454858126,1.030250305824291,1.213684976572146
mujeres,2008,AGR_ALFAB_ENC,VIC_TRABAJA_ENC,AGR_ALFAB,VIC_TRABAJA,VIC_TRABAJA_ENC=2,AGR_ALFAB_ENC=0,si,alfabeta,15268,188.0776971569262,8.354860157857675e-43,742.216400314383,0.3012182342153524,0.9090729393160704,1.0653765457075346,1.6135138959817747
mujeres,2008,AGR_ALFAB_ENC,VIC_NIV_ESCOLARIDAD_ENC,AGR_ALFAB,VIC_NIV_ESCOLARIDAD,VIC_NIV_ESCOLARIDAD_ENC=4,AGR_ALFAB_ENC=0,primaria,alfabeta,15151,2215.8665559948718,0.0,54.359976239192136,0.408487888588212,0.9004801396769969,1.0560550039667296,1.480277472455114
mujeres,2008,AGR_ALFAB_ENC,AGR_NIV_ESCOLARIDAD_ENC,AGR_ALFAB,AGR_NIV_ESCOLARIDAD,AGR_NIV_ESCOLARIDAD_ENC=4,AGR_ALFAB_ENC=0,primaria,alfabeta,15020,11752.765072407308,0.0,57.895406125166446,0.4977363515312916,1.0,1.175917951929852,149600532.62316906
mujeres,2008,AGR_ALFAB_ENC,DIF_ALFAB_ENC,AGR_ALFAB,DIF_ALFAB,DIF_ALFAB_ENC=2,AGR_ALFAB_ENC=0,iguales,alfabeta,15292,5597.525154268463,0.0,128.7832853779754,0.7144258435783416,0.8889340927583401,1.0417334773898794,1.320639284291473
mujeres,2008,AGR_ALFAB_ENC,DIF_ALFAB_ENC,AGR_ALFAB,DIF_ALFAB,AGR_ALFAB_ENC=0,DIF_ALFAB_ENC=2,alfabeta,iguales,15292,5597.525154268463,0.0,128.7832853779754,0.7144258435783416,0.8372289064296115,1.0417334773898794,1.2060605572272283
mujeres,2008,AGR_ALFAB_ENC,VIC_ES_INDIGENA_ENC,AGR_ALFAB,VIC_ES_INDIGENA,VIC_ES_INDIGENA_ENC=1,AGR_ALFAB_ENC=0,no,alfabeta,13739,511.5095414059048,2.9770259524283976e-113,674.7860834121843,0.5961132542397555,0.9047724259832082,1.0569397466697812,1.5118490752929918
