division,year,orig_col_a,orig_col_b,col_a_enc,col_b_enc,n_rows,pair_chi2,pair_p_value,pair_expected_min,antecedent_enc,consequent_enc,support,confidence,lift,conviction,rule_n,rule_chi2,rule_p_value,rule_dof,rule_expected_min,rule_observed
mujeres,2008,AGR_ALFAB,AGR_SEXO,AGR_ALFAB_ENC,AGR_SEXO_ENC,15325,104.9259098706465,1.2678914437937444e-24,73.3115823817292,AGR_ALFAB_ENC=0,AGR_SEXO_ENC=0,0.8307340946166395,0.9734668909619207,1.006298826576151,1.2296495721524874,15325,104.9259098706465,1.2678914437937444e-24,1,73.3115823817292,"[[153, 2094], [347, 12731]]"
mujeres,2008,AGR_ALFAB,VIC_ALFAB,AGR_ALFAB_ENC,VIC_ALFAB_ENC,15292,2159.9110261166793,0.0,511.75954747580437,VIC_ALFAB_ENC=0,AGR_ALFAB_ENC=0,0.7144258435783416,0.9256121325086842,1.0847161261646716,1.9718000333155357,15292,2159.9110261166793,0.0,1,511.75954747580437,"[[1365, 2124], [878, 10925]]"
mujeres,2008,AGR_ALFAB,VIC_ALFAB,AGR_ALFAB_ENC,VIC_ALFAB_ENC,15292,2159.9110261166793,0.0,511.75954747580437,AGR_ALFAB_ENC=0,VIC_ALFAB_ENC=0,0.7144258435783416,0.8372289064296115,1.0847161261646716,1.401713952087208,15292,2159.9110261166793,0.0,1,511.75954747580437,"[[1365, 878], [2124, 10925]]"
mujeres,2008,AGR_ALFAB,VIC_REL_AGR,AGR_ALFAB_ENC,VIC_REL_AGR_ENC,15325,235.89051829905966,7.364607517073965e-51,235.91667210440457,VIC_REL_AGR_ENC=1,AGR_ALFAB_ENC=0,0.400326264274062,0.8791917454858126,1.030250305824291,1.213684976572146,15325,68.23368632658237,1.4522353637359823e-16,1,1023.1364437194127,"[[1404, 6943], [843, 6135]]"
mujeres,2008,AGR_ALFAB,VIC_TRABAJA,AGR_ALFAB_ENC,VIC_TRABAJA_ENC,15268,188.0776971569262,8.354860157857675e-43,742.216400314383,VIC_TRABAJA_ENC=2,AGR_ALFAB_ENC=0,0.3012182342153524,0.9090729393160704,1.0653765457075346,1.6135138959817747,15268,188.0776971569262,8.354860157857675e-43,1,742.216400314383,"[[1780, 8429], [460, 4599]]"
mujeres,2008,AGR_ALFAB,VIC_NIV_ESCOLARIDAD,AGR_ALFAB_ENC,VIC_NIV_ESCOLARIDAD_ENC,15151,2215.8665559948718,0.0,54.359976239192136,VIC_NIV_ESCOLARIDAD_ENC=4,AGR_ALFAB_ENC=0,0.408487888588212,0.9004801396769969,1.0560550039667296,1.480277472455114,15151,228.78402869366113,1.0978136886873335e-51,1,1012.5098013332454,"[[1548, 6730], [684, 6189]]"
mujeres,2008,AGR_ALFAB,AGR_NIV_ESCOLARIDAD,AGR_ALFAB_ENC,AGR_NIV_ESCOLARIDAD_ENC,15020,11752.765072407308,0.0,57.895406125166446,AGR_NIV_ESCOLARIDAD_ENC=4,AGR_ALFAB_ENC=0,0.4977363515312916,1.0,1.175917951929852,149600532.62316906,15020,2618.4706232219196,0.0,1,1118.4135818908123,"[[2247, 5297], [0, 7476]]"
mujeres,2008,AGR_ALFAB,DIF_ALFAB,AGR_ALFAB_ENC,DIF_ALFAB_ENC,15292,5597.525154268463,0.0,128.7832853779754,DIF_ALFAB_ENC=2,AGR_ALFAB_ENC=0,0.7144258435783416,0.8889340927583401,1.0417334773898794,1.320639284291473,15292,634.34071649926,5.685391744293629e-140,1,440.32736071148315,"[[878, 2124], [1365, 10925]]"
mujeres,2008,AGR_ALFAB,DIF_ALFAB,AGR_ALFAB_ENC,DIF_ALFAB_ENC,15292,5597.525154268463,0.0,128.7832853779754,AGR_ALFAB_ENC=0,DIF_ALFAB_ENC=2,0.7144258435783416,0.8372289064296115,1.0417334773898794,1.2060605572272283,15292,634.34071649926,5.685391744293629e-140,1,440.32736071148315,"[[878, 1365], [2124, 10925]]"
mujeres,2008,AGR_ALFAB,VIC_ES_INDIGENA,AGR_ALFAB_ENC,VIC_ES_INDIGENA_ENC,13739,511.5095414059048,2.9770259524283976e-113,674.7860834121843,VIC_ES_INDIGENA_ENC=1,AGR_ALFAB_ENC=0,0.5961132542397555,0.9047724259832082,1.0569397466697812,1.5118490752929918,13739,511.5095414059048,2.9770259524283976e-113,1,674.7860834121843,"[[1116, 3571], [862, 8190]]"
mujeres,2008,AGR_ALFAB,AGR_ES_INDIGENA,AGR_ALFAB_ENC,AGR_ES_INDIGENA_ENC,13801,485.91689553999896,1.102190472691863e-107,714.1399898558076,AGR_ES_INDIGENA_ENC=1,AGR_ALFAB_ENC=0,0.5816245199623216,0.9041450777202072,1.0575562520227628,1.513348997307497,13801,485.91689553999896,1.102190472691863e-107,1,714.1399898558076,"[[1151, 3772], [851, 8027]]"
mujeres,2008,AGR_EST_CIV,AGR_SEXO,AGR_EST_CIV_ENC,AGR_SEXO_ENC,15351,237.2074864055992,3.822719881290393e-51,5.702690378476972,AGR_EST_CIV_ENC=0,AGR_SEXO_ENC=0,0.49267148719953097,0.9770055548378762,1.0086087607475613,1.362653546734147,15351,35.776368148316024,2.2131619957805604e-09,1,238.44765813302064,"[[303, 7307], [178, 7563]]"
mujeres,2008,AGR_EST_CIV,VIC_REL_AGR,AGR_EST_CIV_ENC,VIC_REL_AGR_ENC,15351,11840.776627248448,0.0,18.566347469220247,VIC_REL_AGR_ENC=1,AGR_EST_CIV_ENC=0,0.42961370594749526,0.931497175141243,1.8472307370615193,7.236682148176739,15351,9594.618828867722,0.0,1,3509.7908931014267,"[[7125, 1146], [485, 6595]]"
mujeres,2008,AGR_EST_CIV,VIC_REL_AGR,AGR_EST_CIV_ENC,VIC_REL_AGR_ENC,15351,11840.776627248448,0.0,18.566347469220247,AGR_EST_CIV_ENC=0,VIC_REL_AGR_ENC=1,0.42961370594749526,0.8519571114843043,1.8472307370615193,3.6394335645100964,15351,9594.618828867722,0.0,1,3509.7908931014267,"[[7125, 485], [1146, 6595]]"
mujeres,2008,AGR_GRUPET,VIC_ES_INDIGENA,AGR_GRUPET_ENC,VIC_ES_INDIGENA_ENC,13756,9755.414621868178,0.0,6.573204419889502,VIC_ES_INDIGENA_ENC=1,AGR_GRUPET_ENC=2,0.6040273335271882,0.9235300655774147,1.4625926297585674,4.8197561786457035,13756,9534.182630713314,0.0,1,1754.0077057284095,"[[4382, 377], [688, 8309]]"
mujeres,2008,AGR_GRUPET,VIC_ES_INDIGENA,AGR_GRUPET_ENC,VIC_ES_INDIGENA_ENC,13756,9755.414621868178,0.0,6.573204419889502,AGR_GRUPET_ENC=2,VIC_ES_INDIGENA_ENC=1,0.6040273335271882,0.956596822472945,1.4625926297585674,7.970801657923629,13756,9534.182630713314,0.0,1,1754.0077057284095,"[[4382, 688], [377, 8309]]"
mujeres,2008,AGR_GRUPET,AGR_ES_INDIGENA,AGR_GRUPET_ENC,AGR_ES_INDIGENA_ENC,14045,14045.000000000002,0.0,7.176931292274831,AGR_GRUPET_ENC=2,AGR_ES_INDIGENA_ENC=1,0.6411534353862585,1.0,1.5596890616324264,358846564.6137415,14045,14045.0,0.0,1,1808.5866856532573,"[[5040, 0], [0, 9005]]"
mujeres,2008,AGR_GRUPET,AGR_ES_INDIGENA,AGR_GRUPET_ENC,AGR_ES_INDIGENA_ENC,14045,14045.000000000002,0.0,7.176931292274831,AGR_ES_INDIGENA_ENC=1,AGR_GRUPET_ENC=2,0.6411534353862585,1.0,1.5596890616324264,358846564.6137415,14045,14045.0,0.0,1,1808.5866856532573,"[[5040, 0], [0, 9005]]"
mujeres,2008,AGR_GRUPET,AGR_ES_INDIGENA,AGR_GRUPET_ENC,AGR_ES_INDIGENA_ENC,14045,14045.000000000002,0.0,7.176931292274831,AGR_GRUPET_ENC=3,AGR_ES_INDIGENA_ENC=2,0.339124243503026,1.0,2.7867063492063493,641153435.3862585,14045,12876.97764308715,0.0,1,1709.186187255251,"[[9005, 277], [0, 4763]]"
mujeres,2008,AGR_GRUPET,AGR_ES_INDIGENA,AGR_GRUPET_ENC,AGR_ES_INDIGENA_ENC,14045,14045.000000000002,0.0,7.176931292274831,AGR_ES_INDIGENA_ENC=2,AGR_GRUPET_ENC=3,0.339124243503026,0.9450396825396825,2.7867063492063493,12.024598383179681,14045,12876.97764308715,0.0,1,1709.186187255251,"[[9005, 0], [277, 4763]]"
mujeres,2008,AGR_NACIONAL,VIC_REL_AGR,AGR_NACIONAL_ENC,VIC_REL_AGR_ENC,14945,11.204584669242008,0.010669517831738041,9.38588156574105,VIC_REL_AGR_ENC=1,AGR_NACIONAL_ENC=1,0.4499163599866176,0.9957056123204502,1.0016033099635948,1.3711513748537567,14945,5.346704220094922,0.02076147904490946,1,39.76339913014386,"[[59, 8133], [29, 6724]]"
mujeres,2008,AGR_NACIONAL,VIC_TRABAJA,AGR_NACIONAL_ENC,VIC_TRABAJA_ENC,14891,13.929004962470914,0.0001898461911504377,28.643878852998455,VIC_TRABAJA_ENC=1,AGR_NACIONAL_ENC=1,0.6716137264119266,0.9957188371166866,1.0016381276433548,1.3803745879655855,14891,13.929004962470914,0.0001898461911504377,1,28.643878852998455,"[[45, 4802], [43, 10001]]"
mujeres,2008,AGR_NACIONAL,VIC_ES_INDIGENA,AGR_NACIONAL_ENC,VIC_ES_INDIGENA_ENC,13395,14.725851454205214,0.00012432981587992762,27.088913773796193,VIC_ES_INDIGENA_ENC=2,AGR_NACIONAL_ENC=1,0.34647256438969765,0.9976354256233878,1.0034787509367935,2.462627483423023,13395,14.725851454205214,0.00012432981587992762,1,27.088913773796193,"[[67, 8676], [11, 4641]]"
mujeres,2008,AGR_NACIONAL,AGR_ES_INDIGENA,AGR_NACIONAL_ENC,AGR_ES_INDIGENA_ENC,13486,21.942727436722045,2.8090938924731316e-06,26.048346433338278,AGR_ES_INDIGENA_ENC=2,AGR_NACIONAL_ENC=1,0.36126353255227645,0.9985652797704447,1.0039251053365303,3.7211897539504144,13486,21.942727436722045,2.8090938924731316e-06,1,26.048346433338278,"[[65, 8542], [7, 4872]]"
mujeres,2008,AGR_SEXO,AGR_TRABAJA,AGR_SEXO_ENC,AGR_TRABAJA_ENC,15236,2386.7343600877084,0.0,49.94138881596219,AGR_TRABAJA_ENC=2,AGR_SEXO_ENC=0,0.8913100551325808,0.990879241152864,1.0242917510146574,3.5764684973483116,15236,2386.734360087708,0.0,1,49.94138881596219,"[[372, 1159], [125, 13580]]"
mujeres,2008,AGR_SEXO,AGR_TRABAJA,AGR_SEXO_ENC,AGR_TRABAJA_ENC,15236,2386.7343600877084,0.0,49.94138881596219,AGR_SEXO_ENC=0,AGR_TRABAJA_ENC=2,0.8913100551325808,0.9213650858267183,1.0242917510146574,1.2778762660478176,15236,2386.7343600877084,0.0,1,49.94138881596219,"[[372, 125], [1159, 13580]]"
mujeres,2008,AGR_SEXO,VIC_REL_AGR,AGR_SEXO_ENC,VIC_REL_AGR_ENC,15689,4457.933268183523,0.0,53.92886735929632,VIC_REL_AGR_ENC=0,AGR_SEXO_ENC=0,0.3235387851360826,1.0,1.033599051320904,32506851.93447633,15689,252.11908792023962,8.96328166083618e-57,1,165.00478041940212,"[[510, 10103], [0, 5076]]"
mujeres,2008,AGR_SEXO,VIC_REL_AGR,AGR_SEXO_ENC,VIC_REL_AGR_ENC,15689,4457.933268183523,0.0,53.92886735929632,VIC_REL_AGR_ENC=1,AGR_SEXO_ENC=0,0.4535024539486264,1.0,1.033599051320904,32506851.93447633,15689,437.4351758310705,3.9143032987037585e-97,1,231.28625151379947,"[[510, 8064], [0, 7115]]"
mujeres,2008,AGR_SEXO,CANTIDAD_HIJOS,AGR_SEXO_ENC,CANTIDAD_HIJOS_ENC,15689,26.48213853872645,7.558768783056868e-06,33.839632863789916,CANTIDAD_HIJOS_ENC=1,AGR_SEXO_ENC=0,0.36229205175600737,0.9734543586230519,1.0061615015769854,1.2245645244849985,15689,10.508569977226168,0.0011882217410133455,1,189.80750844540762,"[[355, 9495], [155, 5684]]"
mujeres,2008,AGR_SEXO,VIC_OTRAS_VICTIMAS,AGR_SEXO_ENC,VIC_OTRAS_VICTIMAS_ENC,9918,21.115360924239823,4.324476888601343e-06,98.16979229683403,VIC_OTRAS_VICTIMAS_ENC=2,AGR_SEXO_ENC=0,0.6580963904012905,0.9750522856289214,1.0056747679770843,1.2205401169632975,9918,21.115360924239823,4.324476888601343e-06,1,98.16979229683403,"[[135, 3089], [167, 6527]]"
mujeres,2008,AGR_SEXO,VIOLENCIA_FISICA,AGR_SEXO_ENC,VIOLENCIA_FISICA_ENC,15689,105.32101293044984,1.0386882686992838e-24,151.77449168207025,VIOLENCIA_FISICA_ENC=1,AGR_SEXO_ENC=0,0.6862132704442603,0.976950998185118,1.009775624911148,1.4103365857323638,15689,105.32101293044984,1.0386882686992838e-24,1,151.77449168207025,"[[256, 4413], [254, 10766]]"
mujeres,2008,AGR_SEXO,QUIEN_ES_MAYOR,AGR_SEXO_ENC,QUIEN_ES_MAYOR_ENC,14544,134.61598395328497,5.868275526074691e-30,36.430280528052805,QUIEN_ES_MAYOR_ENC=0,AGR_SEXO_ENC=0,0.6890814081408141,0.9751873114722195,1.0074672722014462,1.2913031469052954,14544,59.007414975371645,1.570789209529737e-14,1,136.71768426842684,"[[211, 4056], [255, 10022]]"
mujeres,2008,AGR_TRABAJA,VIC_REL_AGR,AGR_TRABAJA_ENC,VIC_REL_AGR_ENC,15236,1350.5811723434792,1.5579243177013638e-292,159.8727356261486,VIC_REL_AGR_ENC=0,AGR_TRABAJA_ENC=2,0.3017852454712523,0.932657200811359,1.0368453200701835,1.492151967265085,15236,88.57196125170566,4.901882298321676e-21,1,495.3944604883171,"[[1199, 9107], [332, 4598]]"
mujeres,2008,AGR_TRABAJA,VIC_REL_AGR,AGR_TRABAJA_ENC,VIC_REL_AGR_ENC,15236,1350.5811723434792,1.5579243177013638e-292,159.8727356261486,VIC_REL_AGR_ENC=1,AGR_TRABAJA_ENC=2,0.42412706747177736,0.9323329966815755,1.0364848987552342,1.4850028133321658,15236,151.5156056253055,8.085281477978122e-35,1,696.46632974534,"[[1062, 7243], [469, 6462]]"
mujeres,2008,AGR_TRABAJA,VIC_ES_INDIGENA,AGR_TRABAJA_ENC,VIC_ES_INDIGENA_ENC,13654,32.33794037124601,1.2955878449220277e-08,471.9121869049363,VIC_ES_INDIGENA_ENC=2,AGR_TRABAJA_ENC=2,0.31609784678482494,0.9196675900277008,1.0224852434034872,1.2517564483566133,13654,32.33794037124601,1.2955878449220277e-08,1,471.9121869049363,"[[996, 7965], [377, 4316]]"
mujeres,2008,AGR_TRABAJA,AGR_ES_INDIGENA,AGR_TRABAJA_ENC,AGR_ES_INDIGENA_ENC,13724,50.60032408577112,1.132263430365678e-12,497.42531331973186,AGR_ES_INDIGENA_ENC=2,AGR_TRABAJA_ENC=2,0.3316817254444768,0.9235138973422601,1.0271743842390126,1.3194305220590423,13724,50.60032408577112,1.132263430365678e-12,1,497.42531331973186,"[[1008, 7787], [377, 4552]]"
mujeres,2008,AGR_TRABAJA,GANA_MAS_LA_VICTIMA,AGR_TRABAJA_ENC,GANA_MAS_LA_VICTIMA_ENC,15236,807.7934852343885,1.090504179015139e-177,165.49993436597532,GANA_MAS_LA_VICTIMA_ENC=0,AGR_TRABAJA_ENC=2,0.823772643738514,0.923614688350872,1.0267926590086747,1.3155106433117056,15236,807.7934852343884,1.0905041790152009e-177,1,165.49993436597532,"[[493, 1154], [1038, 12551]]"
mujeres,2008,AGR_TRABAJA,GANA_MAS_LA_VICTIMA,AGR_TRABAJA_ENC,GANA_MAS_LA_VICTIMA_ENC,15236,807.7934852343885,1.090504179015139e-177,165.49993436597532,AGR_TRABAJA_ENC=2,GANA_MAS_LA_VICTIMA_ENC=0,0.823772643738514,0.9157971543232397,1.0267926590086747,1.2837955355629174,15236,807.7934852343884,1.0905041790152009e-177,1,165.49993436597532,"[[493, 1038], [1154, 12551]]"
mujeres,2008,VIC_ALFAB,CANTIDAD_HIJOS,VIC_ALFAB_ENC,CANTIDAD_HIJOS_ENC,15609,459.1799783580476,3.343558040733304e-99,237.4214876033058,CANTIDAD_HIJOS_ENC=1,VIC_ALFAB_ENC=0,0.30386315587161256,0.814109165808445,1.0573664477537044,1.2376058280328108,15609,102.37790038353704,4.587913215926666e-24,1,1340.327118969825,"[[2508, 7275], [1083, 4743]]"
mujeres,2008,VIC_ALFAB,VIC_RANGO_EDAD,VIC_ALFAB_ENC,VIC_RANGO_EDAD_ENC,15609,433.5994024368663,2.6759987965538124e-96,628.0626561599078,VIC_ALFAB_ENC=0,VIC_RANGO_EDAD_ENC=0,0.6619258120315202,0.8597104343484773,1.0419458164256061,1.2467006695475935,15609,433.59940243686634,2.675998796553736e-96,1,628.0626561599078,"[[1044, 2547], [1686, 10332]]"
mujeres,2008,VIC_ALFAB,VIC_NIV_ESCOLARIDAD,VIC_ALFAB_ENC,VIC_NIV_ESCOLARIDAD_ENC,15435,13310.80111814737,0.0,86.5469387755102,VIC_NIV_ESCOLARIDAD_ENC=4,VIC_ALFAB_ENC=0,0.45273728539034663,1.0,1.3031914893617023,232653061.2244898,15435,3871.453455715109,0.0,1,1625.7795918367347,"[[3591, 4856], [0, 6988]]"
mujeres,2008,VIC_ALFAB,DIF_ALFAB,VIC_ALFAB_ENC,DIF_ALFAB_ENC,15292,8401.711344074254,0.0,200.32317551660998,VIC_ALFAB_ENC=0,DIF_ALFAB_ENC=2,0.7144258435783416,0.9256121325086842,1.1517055110108056,2.6390297369653313,15292,4874.158384989981,0.0,1,684.9318597959717,"[[2124, 1365], [878, 10925]]"
mujeres,2008,VIC_ALFAB,DIF_ALFAB,VIC_ALFAB_ENC,DIF_ALFAB_ENC,15292,8401.711344074254,0.0,200.32317551660998,DIF_ALFAB_ENC=2,VIC_ALFAB_ENC=0,0.7144258435783416,0.8889340927583401,1.1517055110108056,2.054262355279959,15292,4874.158384989981,0.0,1,684.9318597959717,"[[2124, 878], [1365, 10925]]"
mujeres,2008,VIC_ALFAB,VIC_ES_INDIGENA,VIC_ALFAB_ENC,VIC_ES_INDIGENA_ENC,13959,1442.4477556091583,0.0,1082.8652482269504,VIC_ES_INDIGENA_ENC=1,VIC_ALFAB_ENC=0,0.572247295651551,0.8710064333224294,1.1255673766661536,1.753283800248254,13959,1442.4477556091583,0.0,1,1082.8652482269504,"[[1974, 2814], [1183, 7988]]"
mujeres,2008,VIC_ALFAB,VIC_ES_INDIGENA,VIC_ALFAB_ENC,VIC_ES_INDIGENA_ENC,13959,1442.4477556091583,0.0,1082.8652482269504,VIC_ALFAB_ENC=0,VIC_ES_INDIGENA_ENC=1,0.572247295651551,0.7394926865395297,1.1255673766661536,1.3166790112118987,13959,1442.4477556091583,0.0,1,1082.8652482269504,"[[1974, 1183], [2814, 7988]]"
mujeres,2008,VIC_ALFAB,AGR_ES_INDIGENA,VIC_ALFAB_ENC,AGR_ES_INDIGENA_ENC,13996,1242.5682742195177,3.421044135524177e-272,1141.7190625893113,VIC_ALFAB_ENC=0,AGR_ES_INDIGENA_ENC=1,0.5552300657330665,0.7184726331360947,1.1209166172525673,1.2752975118611067,13996,1242.5682742195177,3.421044135524177e-272,1,1141.7190625893113,"[[1980, 1200], [3045, 7771]]"
