DIVISION,YEAR,VARIABLE_ANTECEDENTE,VARIABLE_CONSECUENTE,SUPPORT,CONFIDENCE,LIFT,CONVICTION,ANTECEDENTE_VALOR,CONSECUENTE_VALOR
mujeres,2008,AGR_ALFAB,AGR_SEXO,0.8307,0.9735,1.0063,1.2296,alfabeta,hombres
mujeres,2008,VIC_ALFAB,AGR_ALFAB,0.7144,0.9256,1.0847,1.9718,alfabeta,alfabeta
mujeres,2008,AGR_ALFAB,VIC_ALFAB,0.7144,0.8372,1.0847,1.4017,alfabeta,alfabeta
mujeres,2008,VIC_REL_AGR,AGR_ALFAB,0.4003,0.8792,1.0303,1.2137,esposos(as),alfabeta
mujeres,2008,VIC_TRABAJA,AGR_ALFAB,0.3012,0.9091,1.0654,1.6135,si,alfabeta
mujeres,2008,VIC_NIV_ESCOLARIDAD,AGR_ALFAB,0.4085,0.9005,1.0561,1.4803,primaria,alfabeta
mujeres,2008,AGR_NIV_ESCOLARIDAD,AGR_ALFAB,0.4977,1.0,1.1759,149600532.6232,primaria,alfabeta
mujeres,2008,DIF_ALFAB,AGR_ALFAB,0.7144,0.8889,1.0417,1.3206,iguales,alfabeta
mujeres,2008,AGR_ALFAB,DIF_ALFAB,0.7144,0.8372,1.0417,1.2061,alfabeta,iguales
mujeres,2008,VIC_ES_INDIGENA,AGR_ALFAB,0.5961,0.9048,1.0569,1.5118,no,alfabeta
mujeres,2008,AGR_ES_INDIGENA,AGR_ALFAB,0.5816,0.9041,1.0576,1.5133,no,alfabeta
mujeres,2008,AGR_EST_CIV,AGR_SEXO,0.4927,0.977,1.0086,1.3627,casados(as),hombres
mujeres,2008,VIC_REL_AGR,AGR_EST_CIV,0.4296,0.9315,1.8472,7.2367,esposos(as),casados(as)
mujeres,2008,AGR_EST_CIV,VIC_REL_AGR,0.4296,0.852,1.8472,3.6394,casados(as),esposos(as)
mujeres,2008,VIC_ES_INDIGENA,AGR_GRUPET,0.604,0.9235,1.4626,4.8198,no,ladinos(as)
mujeres,2008,AGR_GRUPET,VIC_ES_INDIGENA,0.604,0.9566,1.4626,7.9708,ladinos(as),no
mujeres,2008,AGR_GRUPET,AGR_ES_INDIGENA,0.6412,1.0,1.5597,358846564.6137,ladinos(as),no
mujeres,2008,AGR_ES_INDIGENA,AGR_GRUPET,0.6412,1.0,1.5597,358846564.6137,no,ladinos(as)
mujeres,2008,AGR_GRUPET,AGR_ES_INDIGENA,0.3391,1.0,2.7867,641153435.3863,maya,si
mujeres,2008,AGR_ES_INDIGENA,AGR_GRUPET,0.3391,0.945,2.7867,12.0246,si,maya
mujeres,2008,VIC_REL_AGR,AGR_NACIONAL,0.4499,0.9957,1.0016,1.3712,esposos(as),guatemalteca
mujeres,2008,VIC_TRABAJA,AGR_NACIONAL,0.6716,0.9957,1.0016,1.3804,no,guatemalteca
mujeres,2008,VIC_ES_INDIGENA,AGR_NACIONAL,0.3465,0.9976,1.0035,2.4626,si,guatemalteca
mujeres,2008,AGR_ES_INDIGENA,AGR_NACIONAL,0.3613,0.9986,1.0039,3.7212,si,guatemalteca
mujeres,2008,AGR_TRABAJA,AGR_SEXO,0.8913,0.9909,1.0243,3.5765,si,hombres
mujeres,2008,AGR_SEXO,AGR_TRABAJA,0.8913,0.9214,1.0243,1.2779,hombres,si
mujeres,2008,VIC_REL_AGR,AGR_SEXO,0.3235,1.0,1.0336,32506851.9345,conviviente,hombres
mujeres,2008,VIC_REL_AGR,AGR_SEXO,0.4535,1.0,1.0336,32506851.9345,esposos(as),hombres
mujeres,2008,CANTIDAD_HIJOS,AGR_SEXO,0.3623,0.9735,1.0062,1.2246,hijos medios,hombres
mujeres,2008,VIC_OTRAS_VICTIMAS,AGR_SEXO,0.6581,0.9751,1.0057,1.2205,si,hombres
mujeres,2008,VIOLENCIA_FISICA,AGR_SEXO,0.6862,0.977,1.0098,1.4103,presente,hombres
mujeres,2008,QUIEN_ES_MAYOR,AGR_SEXO,0.6891,0.9752,1.0075,1.2913,agresor,hombres
mujeres,2008,VIC_REL_AGR,AGR_TRABAJA,0.3018,0.9327,1.0368,1.4922,conviviente,si
mujeres,2008,VIC_REL_AGR,AGR_TRABAJA,0.4241,0.9323,1.0365,1.485,esposos(as),si
mujeres,2008,VIC_ES_INDIGENA,AGR_TRABAJA,0.3161,0.9197,1.0225,1.2518,si,si
mujeres,2008,AGR_ES_INDIGENA,AGR_TRABAJA,0.3317,0.9235,1.0272,1.3194,si,si
mujeres,2008,GANA_MAS_LA_VICTIMA,AGR_TRABAJA,0.8238,0.9236,1.0268,1.3155,no,si
mujeres,2008,AGR_TRABAJA,GANA_MAS_LA_VICTIMA,0.8238,0.9158,1.0268,1.2838,si,no
mujeres,2008,CANTIDAD_HIJOS,VIC_ALFAB,0.3039,0.8141,1.0574,1.2376,hijos medios,alfabeta
mujeres,2008,VIC_ALFAB,VIC_RANGO_EDAD,0.6619,0.8597,1.0419,1.2467,alfabeta,adulto joven
mujeres,2008,VIC_NIV_ESCOLARIDAD,VIC_ALFAB,0.4527,1.0,1.3032,232653061.2245,primaria,alfabeta
mujeres,2008,VIC_ALFAB,DIF_ALFAB,0.7144,0.9256,1.1517,2.639,alfabeta,iguales
mujeres,2008,DIF_ALFAB,VIC_ALFAB,0.7144,0.8889,1.1517,2.0543,iguales,alfabeta
mujeres,2008,VIC_ES_INDIGENA,VIC_ALFAB,0.5722,0.871,1.1256,1.7533,no,alfabeta
mujeres,2008,VIC_ALFAB,VIC_ES_INDIGENA,0.5722,0.7395,1.1256,1.3167,alfabeta,no
mujeres,2008,VIC_ALFAB,AGR_ES_INDIGENA,0.5552,0.7185,1.1209,1.2753,alfabeta,no
mujeres,2008,AGR_ES_INDIGENA,VIC_ALFAB,0.5552,0.8662,1.1209,1.6986,no,alfabeta
mujeres,2008,VIC_REL_AGR,VIC_DISC,0.3197,0.9904,1.0035,1.363,conviviente,sin discapacidad
mujeres,2008,VIC_OTRAS_VICTIMAS,VIC_DISC,0.319,0.9923,1.0056,1.7193,no,sin discapacidad
mujeres,2008,VIC_ES_INDIGENA,VIC_DISC,0.346,0.9903,1.0037,1.3818,si,sin discapacidad
mujeres,2008,AGR_ES_INDIGENA,VIC_DISC,0.3605,0.9904,1.0038,1.3928,si,sin discapacidad
mujeres,2008,VIC_REL_AGR,VIC_EST_CIV,0.4146,0.9125,1.8952,5.9249,esposos(as),casados(as)
mujeres,2008,VIC_EST_CIV,VIC_REL_AGR,0.4146,0.8612,1.8952,3.9314,casados(as),esposos(as)
mujeres,2008,VIC_GRUPET,VIC_ES_INDIGENA,0.6567,1.0,1.5227,343285714.2857,ladinos(as),no
mujeres,2008,VIC_ES_INDIGENA,VIC_GRUPET,0.6567,1.0,1.5227,343285714.2857,no,ladinos(as)
mujeres,2008,VIC_GRUPET,VIC_ES_INDIGENA,0.3266,1.0,2.913,656714285.7143,maya,si
mujeres,2008,VIC_ES_INDIGENA,VIC_GRUPET,0.3266,0.9515,2.913,13.8891,si,maya
mujeres,2008,VIC_REL_AGR,VIC_NACIONAL,0.4516,0.9948,1.0063,2.196,esposos(as),guatemalteca
mujeres,2008,VIC_ES_INDIGENA,VIC_NACIONAL,0.3435,0.999,1.01,10.4544,si,guatemalteca
mujeres,2008,AGR_ES_INDIGENA,VIC_NACIONAL,0.3583,0.9962,1.0079,3.0668,si,guatemalteca
mujeres,2008,VIC_TRABAJA,GANA_MAS_LA_VICTIMA,0.6594,0.9805,1.096,5.4029,no,no
mujeres,2008,GANA_MAS_LA_VICTIMA,VIC_TRABAJA,0.6594,0.7371,1.096,1.2456,no,no
mujeres,2008,CANTIDAD_HIJOS,VIC_RANGO_EDAD,0.3255,0.8746,1.0603,1.3967,hijos medios,adulto joven
mujeres,2008,QUIEN_ES_MAYOR,VIC_RANGO_EDAD,0.6139,0.8688,1.0522,1.3288,agresor,adulto joven
mujeres,2008,VIC_NIV_ESCOLARIDAD,AGR_NIV_ESCOLARIDAD,0.3015,0.6646,1.3352,1.4973,primaria,primaria
mujeres,2008,AGR_NIV_ESCOLARIDAD,VIC_NIV_ESCOLARIDAD,0.3015,0.6057,1.3352,1.3856,primaria,primaria
mujeres,2008,VIC_NIV_ESCOLARIDAD,DIF_ALFAB,0.4085,0.9005,1.122,1.9837,primaria,iguales
mujeres,2008,VIC_NIV_ESCOLARIDAD,GANA_MAS_LA_VICTIMA,0.4174,0.9219,1.0311,1.3557,primaria,no
mujeres,2008,AGR_NIV_ESCOLARIDAD,GANA_MAS_LA_VICTIMA,0.4534,0.9109,1.0206,1.2062,primaria,no
mujeres,2008,VIOLENCIA_PATRIMONIAL,VIOLENCIA_SEXUAL,0.8192,0.9744,1.0098,1.3705,no presente,no presente
mujeres,2008,VIC_ES_INDIGENA,VIOLENCIA_SEXUAL,0.3336,0.9717,1.0077,1.2621,si,no presente
mujeres,2008,AGR_ES_INDIGENA,VIOLENCIA_SEXUAL,0.3485,0.971,1.0074,1.2461,si,no presente
mujeres,2008,AGR_ES_INDIGENA,VIOLENCIA_PATRIMONIAL,0.3108,0.8661,1.0361,1.2254,si,no presente
mujeres,2008,VIC_ES_INDIGENA,DIF_ALFAB,0.5664,0.8591,1.0637,1.3652,no,iguales
mujeres,2008,AGR_ES_INDIGENA,DIF_ALFAB,0.5507,0.856,1.0623,1.3488,no,iguales
