num_class,seed,model,loglik_train,post_train,labels_train,p_entropy_train,NEC_train,AIC_train,BIC_train,avg_max_post_train,loglik_eval,post_eval,labels_eval,p_entropy_eval,NEC_eval,AIC_eval,BIC_eval,avg_max_post_eval,class_counts_train,class_counts_eval,init
2,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-1): 2 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1.]
 [0. 1.]
 [0. 1.]
 ...
 [0. 1.]
 [0. 1.]
 [0. 1.]]",[1 1 1 ... 1 1 1],0.014945673756301403,"tensor(-0., device='cuda:0')","tensor(1616327.2500, device='cuda:0')","tensor(1616389.3750, device='cuda:0')",0.9953967928886414,"tensor(-89609.3516, device='cuda:0')","[[0. 1.]
 [0. 1.]
 [0. 1.]
 ...
 [0. 1.]
 [0. 1.]
 [0. 1.]]",[1 1 1 ... 1 1 1],0.014911262318491936,"tensor(-0., device='cuda:0')","tensor(179230.7031, device='cuda:0')","tensor(179279.6406, device='cuda:0')",0.9954127073287964,{1: 231633},{1: 25737},no_kmodes
3,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-2): 3 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]
 ...
 [0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",[1 1 1 ... 1 1 1],0.029853085055947304,"tensor(-0., device='cuda:0')","tensor(1616333.2500, device='cuda:0')","tensor(1616426.3750, device='cuda:0')",0.9903786778450012,"tensor(-89609.3516, device='cuda:0')","[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]
 ...
 [0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",[1 1 1 ... 1 1 1],0.029667535796761513,"tensor(-0., device='cuda:0')","tensor(179236.7031, device='cuda:0')","tensor(179310.1094, device='cuda:0')",0.9904502630233765,{1: 231633},{1: 25737},no_kmodes
4,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-3): 4 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 ...
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]]",[1 1 1 ... 1 1 1],0.018862687051296234,"tensor(-0., device='cuda:0')","tensor(1616339.2500, device='cuda:0')","tensor(1616463.5000, device='cuda:0')",0.9937902688980103,"tensor(-89609.3516, device='cuda:0')","[[0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 ...
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]]",[1 1 1 ... 1 1 1],0.01885542832314968,"tensor(-0., device='cuda:0')","tensor(179242.7031, device='cuda:0')","tensor(179340.5781, device='cuda:0')",0.9938003420829773,{1: 231633},{1: 25737},no_kmodes
5,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-4): 5 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]
 ...
 [0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.006590151693671942,"tensor(-0., device='cuda:0')","tensor(1616345.2500, device='cuda:0')","tensor(1616500.5000, device='cuda:0')",0.9974238276481628,"tensor(-89609.3516, device='cuda:0')","[[0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]
 ...
 [0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.00639375951141119,"tensor(-0., device='cuda:0')","tensor(179248.7031, device='cuda:0')","tensor(179371.0312, device='cuda:0')",0.9975138902664185,{1: 231633},{1: 25737},no_kmodes
6,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-5): 6 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 ...
 [0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.009327744133770466,"tensor(-0., device='cuda:0')","tensor(1616351.2500, device='cuda:0')","tensor(1616537.6250, device='cuda:0')",0.9957467317581177,"tensor(-89609.3516, device='cuda:0')","[[0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 ...
 [0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.009317247197031975,"tensor(-0., device='cuda:0')","tensor(179254.7031, device='cuda:0')","tensor(179401.5000, device='cuda:0')",0.9957723617553711,{1: 231633},{1: 25737},no_kmodes
7,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-6): 7 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.005235346499830484,"tensor(-0., device='cuda:0')","tensor(1616357.2500, device='cuda:0')","tensor(1616574.6250, device='cuda:0')",0.9981838464736938,"tensor(-89609.3516, device='cuda:0')","[[0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.005231649614870548,"tensor(-0., device='cuda:0')","tensor(179260.7031, device='cuda:0')","tensor(179431.9688, device='cuda:0')",0.9981963038444519,{1: 231633},{1: 25737},no_kmodes
8,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-7): 8 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.0,"tensor(-0., device='cuda:0')","tensor(1616363.2500, device='cuda:0')","tensor(1616611.7500, device='cuda:0')",1.0,"tensor(-89609.3516, device='cuda:0')","[[0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.0,"tensor(-0., device='cuda:0')","tensor(179266.7031, device='cuda:0')","tensor(179462.4375, device='cuda:0')",1.0,{1: 231633},{1: 25737},no_kmodes
9,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-8): 9 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.0,"tensor(-0., device='cuda:0')","tensor(1616369.2500, device='cuda:0')","tensor(1616648.7500, device='cuda:0')",1.0,"tensor(-89609.3516, device='cuda:0')","[[0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.0,"tensor(-0., device='cuda:0')","tensor(179272.7031, device='cuda:0')","tensor(179492.9062, device='cuda:0')",1.0,{1: 231633},{1: 25737},no_kmodes
2,73,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-1): 2 x Categorical()
  )
)","tensor(-606603.8750, device='cuda:0')","[[1.0000000e+00 1.5482502e-09]
 [1.8781515e-04 9.9981213e-01]
 [1.0000000e+00 2.1755269e-12]
 ...
 [1.8781515e-04 9.9981213e-01]
 [1.0000000e+00 6.0994402e-15]
 [3.5055693e-02 9.6494442e-01]]",[0 1 0 ... 1 0 1],0.011200244538486004,"tensor(2.7558e-08, device='cuda:0')","tensor(1213219.7500, device='cuda:0')","tensor(1213281.8750, device='cuda:0')",0.9965482950210571,"tensor(-67250.0234, device='cuda:0')","[[1.8781515e-04 9.9981213e-01]
 [1.0000000e+00 2.1755269e-12]
 [1.0000000e+00 6.9073050e-14]
 ...
 [1.0000000e+00 1.1968159e-15]
 [1.0000000e+00 1.1968159e-15]
 [1.0000000e+00 4.9157088e-11]]",[1 0 0 ... 0 0 0],0.011276808567345142,"tensor(1.5105e-08, device='cuda:0')","tensor(134512.0469, device='cuda:0')","tensor(134560.9844, device='cuda:0')",0.9965282678604126,"{0: 124861, 1: 106772}","{0: 13975, 1: 11762}",no_kmodes
3,73,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-2): 3 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]
 ...
 [0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",[1 1 1 ... 1 1 1],0.025069277733564377,"tensor(-0., device='cuda:0')","tensor(1616333.2500, device='cuda:0')","tensor(1616426.3750, device='cuda:0')",0.9918850064277649,"tensor(-89609.3516, device='cuda:0')","[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]
 ...
 [0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",[1 1 1 ... 1 1 1],0.025117868557572365,"tensor(-0., device='cuda:0')","tensor(179236.7031, device='cuda:0')","tensor(179310.1094, device='cuda:0')",0.9918662309646606,{1: 231633},{1: 25737},no_kmodes
4,73,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-3): 4 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 ...
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]]",[1 1 1 ... 1 1 1],0.022609155625104904,"tensor(-0., device='cuda:0')","tensor(1616339.2500, device='cuda:0')","tensor(1616463.5000, device='cuda:0')",0.9907161593437195,"tensor(-89609.3516, device='cuda:0')","[[0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 ...
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]]",[1 1 1 ... 1 1 1],0.02281213365495205,"tensor(-0., device='cuda:0')","tensor(179242.7031, device='cuda:0')","tensor(179340.5781, device='cuda:0')",0.9906123280525208,{1: 231633},{1: 25737},no_kmodes
5,73,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-4): 5 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]
 ...
 [0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.002907118294388056,"tensor(-0., device='cuda:0')","tensor(1616345.2500, device='cuda:0')","tensor(1616500.5000, device='cuda:0')",0.9991777539253235,"tensor(-89609.3516, device='cuda:0')","[[0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]
 ...
 [0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.0028928746469318867,"tensor(-0., device='cuda:0')","tensor(179248.7031, device='cuda:0')","tensor(179371.0312, device='cuda:0')",0.9991872906684875,{1: 231633},{1: 25737},no_kmodes
6,73,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-5): 6 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 ...
 [0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.0,"tensor(-0., device='cuda:0')","tensor(1616351.2500, device='cuda:0')","tensor(1616537.6250, device='cuda:0')",1.0,"tensor(-89609.3516, device='cuda:0')","[[0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 ...
 [0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.0,"tensor(-0., device='cuda:0')","tensor(179254.7031, device='cuda:0')","tensor(179401.5000, device='cuda:0')",1.0,{1: 231633},{1: 25737},no_kmodes
7,73,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-6): 7 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.0,"tensor(-0., device='cuda:0')","tensor(1616357.2500, device='cuda:0')","tensor(1616574.6250, device='cuda:0')",1.0,"tensor(-89609.3516, device='cuda:0')","[[0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.0,"tensor(-0., device='cuda:0')","tensor(179260.7031, device='cuda:0')","tensor(179431.9688, device='cuda:0')",1.0,{1: 231633},{1: 25737},no_kmodes
8,73,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-7): 8 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.0,"tensor(-0., device='cuda:0')","tensor(1616363.2500, device='cuda:0')","tensor(1616611.7500, device='cuda:0')",1.0,"tensor(-89609.3516, device='cuda:0')","[[0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.0,"tensor(-0., device='cuda:0')","tensor(179266.7031, device='cuda:0')","tensor(179462.4375, device='cuda:0')",1.0,{1: 231633},{1: 25737},no_kmodes
9,73,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-8): 9 x Categorical()
  )
)","tensor(-808157.6250, device='cuda:0')","[[0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.0,"tensor(-0., device='cuda:0')","tensor(1616369.2500, device='cuda:0')","tensor(1616648.7500, device='cuda:0')",1.0,"tensor(-89609.3516, device='cuda:0')","[[0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]]",[1 1 1 ... 1 1 1],0.0,"tensor(-0., device='cuda:0')","tensor(179272.7031, device='cuda:0')","tensor(179492.9062, device='cuda:0')",1.0,{1: 231633},{1: 25737},no_kmodes
2,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-1): 2 x Categorical()
  )
)","tensor(-606603.7387, device='cuda:0', dtype=torch.float64)","[[9.99999983e-01 1.65209806e-08]
 [1.87258283e-04 9.99812742e-01]
 [1.00000000e+00 2.32763675e-11]
 ...
 [1.87258283e-04 9.99812742e-01]
 [1.00000000e+00 6.32741173e-15]
 [3.50175264e-02 9.64982474e-01]]",[0 1 0 ... 1 0 1],0.01867437409733852,"tensor(2.7570e-08, device='cuda:0', dtype=torch.float64)","tensor(1213219.4774, device='cuda:0', dtype=torch.float64)","tensor(1213281.5949, device='cuda:0', dtype=torch.float64)",0.9942505846173475,"tensor(-67249.9013, device='cuda:0', dtype=torch.float64)","[[1.87258283e-04 9.99812742e-01]
 [1.00000000e+00 2.32763675e-11]
 [1.00000000e+00 6.93151921e-14]
 ...
 [1.00000000e+00 1.24210208e-15]
 [1.00000000e+00 1.24210208e-15]
 [1.00000000e+00 4.91981819e-11]]",[1 0 0 ... 0 0 0],0.01868000016549688,"tensor(1.5112e-08, device='cuda:0', dtype=torch.float64)","tensor(134511.8027, device='cuda:0', dtype=torch.float64)","tensor(134560.7368, device='cuda:0', dtype=torch.float64)",0.9942471787495462,"{0: 124861, 1: 106772}","{0: 13975, 1: 11762}",huang
3,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-2): 3 x Categorical()
  )
)","tensor(-606258.6882, device='cuda:0', dtype=torch.float64)","[[9.99960098e-01 3.99020043e-05 6.70676102e-15]
 [4.48625098e-11 1.00000000e+00 2.47756783e-19]
 [9.99999695e-01 6.47489988e-08 2.40161227e-07]
 ...
 [4.48625098e-11 1.00000000e+00 2.47756783e-19]
 [9.99999924e-01 7.56051137e-08 4.19832258e-10]
 [3.54683113e-02 9.64531689e-01 3.74109628e-27]]",[0 1 0 ... 1 0 1],0.01743201024198443,"tensor(2.5761e-08, device='cuda:0', dtype=torch.float64)","tensor(1212535.3764, device='cuda:0', dtype=torch.float64)","tensor(1212628.5526, device='cuda:0', dtype=torch.float64)",0.9947847548602375,"tensor(-67218.6300, device='cuda:0', dtype=torch.float64)","[[4.48625098e-11 1.00000000e+00 2.47756783e-19]
 [9.99999695e-01 6.47489988e-08 2.40161227e-07]
 [9.99999484e-01 5.16304925e-07 8.85346876e-11]
 ...
 [9.99999655e-01 1.47545954e-08 3.29931225e-07]
 [9.99999655e-01 1.47545954e-08 3.29931225e-07]
 [9.99681912e-01 3.18088224e-04 2.47174159e-18]]",[1 0 0 ... 0 0 0],0.017437527927838408,"tensor(1.3958e-08, device='cuda:0', dtype=torch.float64)","tensor(134455.2601, device='cuda:0', dtype=torch.float64)","tensor(134528.6612, device='cuda:0', dtype=torch.float64)",0.9947823296989432,"{0: 122715, 1: 106800, 2: 2118}","{0: 13743, 1: 11767, 2: 227}",huang
