num_class,seed,model,loglik_train,post_train,labels_train,p_entropy_train,NEC_train,AIC_train,BIC_train,avg_max_post_train,loglik_eval,post_eval,labels_eval,p_entropy_eval,NEC_eval,AIC_eval,BIC_eval,avg_max_post_eval,class_counts_train,class_counts_eval,init
2,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-1): 2 x Categorical()
  )
)","tensor(-754910.7500, device='cuda:0')","[[1.0000000e+00 2.9989178e-11]
 [2.9438035e-11 1.0000000e+00]
 [1.0000000e+00 3.2819837e-11]
 ...
 [1.0000000e+00 3.6385409e-10]
 [1.0000000e+00 2.3097588e-11]
 [2.6503596e-11 1.0000000e+00]]",[0 1 0 ... 0 0 1],9.238814158152309e-10,"tensor(2.2774e-15, device='cuda:0')","tensor(1509837.5000, device='cuda:0')","tensor(1509920.7500, device='cuda:0')",1.0,"tensor(-83816.0156, device='cuda:0')","[[1.0000000e+00 9.8840823e-12]
 [3.8221416e-11 1.0000000e+00]
 [1.0000000e+00 2.3097588e-11]
 ...
 [8.9317609e-11 1.0000000e+00]
 [1.0000000e+00 7.6694942e-11]
 [1.0000000e+00 5.9070242e-11]]",[0 1 0 ... 1 0 0],9.253242616580337e-10,"tensor(9.2169e-16, device='cuda:0')","tensor(167648.0312, device='cuda:0')","tensor(167713.7500, device='cuda:0')",1.0,"{0: 155726, 1: 89822}","{0: 17408, 1: 9876}",no_kmodes
3,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-2): 3 x Categorical()
  )
)","tensor(-754591., device='cuda:0')","[[1.0000000e+00 3.3244539e-11 2.6730833e-11]
 [3.2220917e-11 5.6956585e-11 1.0000000e+00]
 [1.0000000e+00 3.1487851e-11 3.3847963e-11]
 ...
 [1.0000000e+00 3.7364961e-10 3.4916570e-10]
 [1.0000000e+00 2.3056125e-11 2.3074823e-11]
 [2.4510135e-11 1.0000000e+00 3.4954400e-11]]",[0 2 0 ... 0 0 1],0.12195277214050293,"tensor(4.5460e-15, device='cuda:0')","tensor(1509206., device='cuda:0')","tensor(1509330.8750, device='cuda:0')",0.9423626661300659,"tensor(-83774.8906, device='cuda:0')","[[1.0000000e+00 8.6448262e-12 1.1273345e-11]
 [3.7325979e-11 4.5759709e-11 1.0000000e+00]
 [1.0000000e+00 2.3056125e-11 2.3074823e-11]
 ...
 [7.6400747e-11 3.5118793e-11 1.0000000e+00]
 [1.0000000e+00 8.3979296e-11 6.9281629e-11]
 [1.0000000e+00 5.8242251e-11 5.9805889e-11]]",[0 2 0 ... 2 0 0],0.12195847183465958,"tensor(1.8417e-15, device='cuda:0')","tensor(167573.7812, device='cuda:0')","tensor(167672.3438, device='cuda:0')",0.9424688220024109,"{0: 155726, 1: 46498, 2: 43324}","{0: 17408, 1: 5219, 2: 4657}",no_kmodes
4,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-3): 4 x Categorical()
  )
)","tensor(-753395.0625, device='cuda:0')","[[1.0000000e+00 3.3244539e-11 8.0175179e-11 4.5367702e-21]
 [2.7822506e-11 4.9330661e-11 1.0000000e+00 8.7049597e-11]
 [1.0000000e+00 3.1487851e-11 7.6888135e-11 6.9697455e-21]
 ...
 [1.0000000e+00 3.7364961e-10 4.0285350e-10 7.5006185e-20]
 [1.0000000e+00 2.3056125e-11 5.4375974e-21 3.5049668e-11]
 [2.4510135e-11 1.0000000e+00 9.9743096e-11 6.1610173e-21]]",[0 2 0 ... 0 0 1],0.05028926581144333,"tensor(7.6293e-15, device='cuda:0')","tensor(1506822.1250, device='cuda:0')","tensor(1506988.7500, device='cuda:0')",0.9746061563491821,"tensor(-83651.9141, device='cuda:0')","[[1.00000000e+00 8.64482617e-12 2.12251637e-21 1.97793379e-11]
 [4.13707402e-11 5.08722266e-11 1.00847837e-10 1.00000000e+00]
 [1.00000000e+00 2.30561247e-11 5.43759737e-21 3.50496680e-11]
 ...
 [7.33103717e-11 3.38004798e-11 6.97557914e-11 1.00000000e+00]
 [1.00000000e+00 8.39792957e-11 1.96977643e-10 1.23506289e-20]
 [1.00000000e+00 5.82422513e-11 1.33593595e-20 9.54170909e-11]]",[0 3 0 ... 3 0 0],0.050211258232593536,"tensor(3.0925e-15, device='cuda:0')","tensor(167335.8281, device='cuda:0')","tensor(167467.2500, device='cuda:0')",0.9746224284172058,"{0: 155726, 1: 46498, 2: 17854, 3: 25470}","{0: 17408, 1: 5219, 2: 1942, 3: 2715}",no_kmodes
5,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-4): 5 x Categorical()
  )
)","tensor(-748495.2500, device='cuda:0')","[[1.0000000e+00 2.6757563e-11 6.2663368e-11 3.7593218e-21 1.3888633e-11]
 [5.5779464e-11 4.9330661e-11 1.0000000e+00 8.7049597e-11 1.1955300e-21]
 [2.2485118e-11 3.0169093e-11 7.2552256e-11 6.5640251e-21 1.0000000e+00]
 ...
 [1.0000000e+00 2.2781745e-10 2.3142800e-10 5.1421902e-20 5.3416820e-12]
 [1.0000000e+00 2.2263505e-11 5.0987276e-21 3.4844034e-11 2.1573672e-11]
 [4.8415012e-11 1.0000000e+00 9.9743096e-11 6.1610173e-21 1.0945761e-21]]",[0 2 4 ... 0 0 1],0.056835275143384933,"tensor(8.6976e-15, device='cuda:0')","tensor(1497030.5000, device='cuda:0')","tensor(1497238.7500, device='cuda:0')",0.9737346768379211,"tensor(-83068.3906, device='cuda:0')","[[3.1735111e-11 8.7471462e-12 2.0854849e-21 2.0604362e-11 1.0000000e+00]
 [6.9133789e-11 5.0872227e-11 1.0084784e-10 1.0000000e+00 2.3016593e-21]
 [1.0000000e+00 2.2263505e-11 5.0987276e-21 3.4844034e-11 2.1573672e-11]
 ...
 [3.7102274e-21 3.3800480e-11 6.9755791e-11 1.0000000e+00 1.8042171e-10]
 [1.0000000e+00 1.0837630e-10 2.5035221e-10 1.5667009e-20 3.0448775e-11]
 [1.0000000e+00 9.0173993e-11 2.0370513e-20 1.4521256e-10 4.7297090e-11]]",[4 3 0 ... 3 0 0],0.057105015963315964,"tensor(3.5543e-15, device='cuda:0')","tensor(166176.7812, device='cuda:0')","tensor(166341.0625, device='cuda:0')",0.9735744595527649,"{0: 89196, 1: 46498, 2: 17854, 3: 25470, 4: 66530}","{0: 10014, 1: 5219, 2: 1942, 3: 2715, 4: 7394}",no_kmodes
6,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-5): 6 x Categorical()
  )
)","tensor(-741594.9375, device='cuda:0')","[[1.00000000e+00 1.34761091e-09 2.21967991e-08 2.25077482e-17
  8.87785567e-10 3.60095419e-18]
 [3.12776005e-09 2.54483079e-09 1.00000000e+00 4.02350731e-09
  3.69017555e-18 1.59025705e-19]
 [1.16536392e-09 1.53958080e-09 1.96269418e-08 2.22279660e-17
  1.00000000e+00 7.43723217e-18]
 ...
 [5.82117319e-01 4.52564279e-08 4.17882591e-01 2.62495807e-15
  1.11154794e-10 3.96993799e-10]
 [1.00000000e+00 1.14568943e-09 8.02183744e-17 5.14869658e-09
  1.25731492e-09 9.21786114e-09]
 [2.15187068e-09 1.00000000e+00 6.83551438e-09 1.24372217e-16
  1.62435409e-17 1.33746709e-18]]",[0 2 4 ... 0 0 1],0.06317172944545746,"tensor(1.1834e-07, device='cuda:0')","tensor(1483237.8750, device='cuda:0')","tensor(1483487.7500, device='cuda:0')",0.9715648889541626,"tensor(-82346.1719, device='cuda:0')","[[1.82268467e-09 4.35610908e-10 3.22170073e-17 3.04694314e-09
  1.00000000e+00 1.39371625e-08]
 [3.39831985e-09 2.35067188e-09 3.92655641e-09 1.00000000e+00
  5.67822929e-18 4.42292730e-10]
 [1.00000000e+00 1.14568943e-09 8.02183744e-17 5.14869658e-09
  1.25731492e-09 9.21786114e-09]
 ...
 [1.04666356e-17 1.51027779e-09 2.66475308e-09 1.00000000e+00
  7.63137287e-09 1.13002452e-09]
 [1.00000000e+00 6.33316244e-09 7.64346737e-08 5.87465855e-17
  1.96650030e-09 7.69333308e-18]
 [1.00000000e+00 5.38423262e-09 2.76231976e-16 1.34384361e-08
  2.78503576e-09 1.96937275e-08]]",[4 3 0 ... 3 0 0],0.06284661591053009,"tensor(4.8957e-08, device='cuda:0')","tensor(164740.3438, device='cuda:0')","tensor(164937.4844, device='cuda:0')",0.9717442393302917,"{0: 79537, 1: 42598, 2: 18328, 3: 25470, 4: 55263, 5: 24352}","{0: 8929, 1: 4799, 2: 2003, 3: 2715, 4: 6166, 5: 2672}",no_kmodes
7,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-6): 7 x Categorical()
  )
)","tensor(-741318., device='cuda:0')","[[1.0000000e+00 1.7510910e-09 4.7346894e-08 ... 1.0022811e-09
  2.5441386e-15 3.0266347e-17]
 [3.5395282e-09 3.6489745e-09 1.0000000e+00 ... 4.5014032e-18
  8.8043860e-17 4.2075359e-17]
 [1.2914494e-09 7.7311119e-17 3.9788112e-08 ... 1.0000000e+00
  5.3872977e-15 9.7350545e-09]
 ...
 [5.8437443e-01 1.3423572e-07 4.1562074e-01 ... 1.2227820e-10
  4.8694033e-06 1.3376681e-15]
 [1.0000000e+00 1.3638108e-09 1.9251980e-16 ... 1.4172439e-09
  5.1656124e-10 3.6030581e-17]
 [2.5936424e-09 1.0000000e+00 1.3339861e-08 ... 1.9928745e-17
  9.0321103e-16 1.9010487e-09]]",[0 2 4 ... 0 0 1],0.03629918023943901,"tensor(1.1549e-07, device='cuda:0')","tensor(1482692., device='cuda:0')","tensor(1482983.5000, device='cuda:0')",0.9837894439697266,"tensor(-82307.4375, device='cuda:0')","[[2.0229149e-09 1.7529453e-17 7.7355668e-17 ... 1.0000000e+00
  8.0033130e-10 5.9073346e-09]
 [3.8512047e-09 3.0922112e-09 4.4242121e-09 ... 6.9255751e-18
  1.9450601e-11 5.4499430e-17]
 [1.0000000e+00 1.3638108e-09 1.9251980e-16 ... 1.4172439e-09
  5.1656124e-10 3.6030581e-17]
 ...
 [1.3128252e-17 6.6974869e-17 2.9955880e-09 ... 8.2345331e-09
  5.0782066e-11 1.5057083e-08]
 [1.0000000e+00 9.4217265e-09 1.5510952e-07 ... 2.2199667e-09
  5.4466027e-15 9.3007745e-17]
 [1.0000000e+00 7.3379556e-09 6.3069692e-16 ... 3.1390739e-09
  1.1058769e-09 1.1072110e-16]]",[4 3 0 ... 3 0 0],0.03656192868947983,"tensor(4.7954e-08, device='cuda:0')","tensor(164670.8750, device='cuda:0')","tensor(164900.8750, device='cuda:0')",0.983647346496582,"{0: 79537, 1: 33496, 2: 18328, 3: 25470, 4: 55263, 5: 24352, 6: 9102}","{0: 8929, 1: 3800, 2: 2003, 3: 2715, 4: 6166, 5: 2672, 6: 999}",no_kmodes
8,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-7): 8 x Categorical()
  )
)","tensor(-744925.1250, device='cuda:0')","[[1.0000000e+00 5.2580096e-10 1.4590754e-09 ... 4.7724428e-23
  1.5664336e-18 1.6982615e-09]
 [8.5667040e-10 1.0178259e-09 1.0000000e+00 ... 8.4052789e-16
  2.8747998e-18 7.2428398e-18]
 [2.9629238e-10 1.3650122e-18 1.0255232e-09 ... 4.5410912e-17
  1.2815337e-09 1.0000000e+00]
 ...
 [9.9999762e-01 1.0941012e-08 2.4209958e-06 ... 2.8560376e-14
  1.4794205e-24 1.1391823e-10]
 [1.0000000e+00 3.9313952e-10 1.7157898e-18 ... 4.8363151e-22
  1.6462112e-18 1.7288578e-18]
 [6.8489531e-10 1.0000000e+00 2.1068713e-09 ... 5.6734961e-15
  6.3290528e-10 5.5985830e-18]]",[0 2 7 ... 0 0 1],0.02831362746655941,"tensor(4.0571e-09, device='cuda:0')","tensor(1489914.2500, device='cuda:0')","tensor(1490247.3750, device='cuda:0')",0.9875766038894653,"tensor(-82675.9453, device='cuda:0')","[[5.1629434e-10 5.0534992e-19 7.6732815e-19 ... 1.4331321e-17
  9.1257513e-10 8.5278062e-10]
 [1.0565361e-09 9.3857777e-10 1.4502968e-09 ... 1.0505012e-14
  3.7260760e-18 9.0935979e-27]
 [1.0000000e+00 3.9313952e-10 1.7157898e-18 ... 4.8363151e-22
  1.6462112e-18 1.7288578e-18]
 ...
 [8.5769324e-19 1.8969834e-18 1.0198197e-09 ... 4.8945770e-10
  3.2477503e-09 7.0527743e-18]
 [1.0000000e+00 1.8504134e-09 3.9958068e-09 ... 2.6703383e-21
  4.0283419e-18 3.5326420e-09]
 [1.0000000e+00 1.3835503e-09 4.6988412e-18 ... 2.7060768e-20
  4.2335033e-18 3.5963005e-18]]",[4 3 0 ... 3 0 0],0.028434351086616516,"tensor(1.6920e-09, device='cuda:0')","tensor(165415.8906, device='cuda:0')","tensor(165678.7344, device='cuda:0')",0.9874956011772156,"{0: 89196, 1: 36336, 2: 17854, 3: 25470, 4: 45340, 5: 1140, 6: 9022, 7: 21190}","{0: 10014, 1: 4122, 2: 1942, 3: 2715, 4: 5023, 5: 105, 6: 992, 7: 2371}",no_kmodes
9,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-8): 9 x Categorical()
  )
)","tensor(-740928.7500, device='cuda:0')","[[9.9999601e-01 4.9650430e-09 2.7901905e-07 ... 7.5781960e-17
  3.7375942e-06 7.9492224e-08]
 [7.1816300e-09 7.1336017e-09 1.0000000e+00 ... 6.2414351e-17
  1.3712105e-13 6.8178974e-09]
 [2.4930733e-09 2.5994671e-16 3.3249870e-07 ... 3.2844547e-09
  9.9999976e-01 6.1145464e-08]
 ...
 [3.4127781e-01 2.4237563e-08 1.7494636e-07 ... 5.3526937e-13
  1.4426268e-13 6.5802282e-01]
 [9.9999905e-01 3.6929664e-09 2.1804297e-15 ... 9.0933665e-17
  2.3316747e-14 2.7263294e-08]
 [3.9357189e-09 1.0000000e+00 1.3500994e-08 ... 3.2997005e-09
  1.2977804e-13 6.4136967e-09]]",[0 2 7 ... 8 0 1],0.025102639570832253,"tensor(1.4739e-07, device='cuda:0')","tensor(1481929.5000, device='cuda:0')","tensor(1482304.2500, device='cuda:0')",0.9894903302192688,"tensor(-82249.6328, device='cuda:0')","[[4.0033896e-09 4.1735348e-17 9.3070964e-16 ... 8.6064738e-09
  4.6241171e-09 7.4335786e-09]
 [7.8528313e-09 5.8018013e-09 8.5449390e-09 ... 8.1892965e-17
  9.3536588e-22 2.5568527e-09]
 [9.9999905e-01 3.6929664e-09 2.1804297e-15 ... 9.0933665e-17
  2.3316747e-14 2.7263294e-08]
 ...
 [5.0925758e-17 1.0621251e-16 5.9083605e-09 ... 1.2555421e-08
  3.0048819e-16 1.1293027e-09]
 [9.9999046e-01 3.6935603e-08 1.2508535e-06 ... 5.5725490e-17
  8.0970913e-06 3.6010911e-07]
 [9.9999762e-01 2.7472561e-08 9.7749525e-15 ... 6.6867646e-17
  5.0513437e-14 1.2350640e-07]]",[4 3 0 ... 3 0 0],0.025049304589629173,"tensor(6.1116e-08, device='cuda:0')","tensor(164571.2656, device='cuda:0')","tensor(164866.9688, device='cuda:0')",0.9895116686820984,"{0: 75759, 1: 33496, 2: 17854, 3: 25470, 4: 45247, 5: 13652, 6: 9102, 7: 20716, 8: 4252}","{0: 8499, 1: 3800, 2: 1942, 3: 2715, 4: 5017, 5: 1511, 6: 999, 7: 2310, 8: 491}",no_kmodes
2,73,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-1): 2 x Categorical()
  )
)","tensor(-754910.7500, device='cuda:0')","[[2.9989178e-11 1.0000000e+00]
 [1.0000000e+00 2.9438035e-11]
 [3.2819837e-11 1.0000000e+00]
 ...
 [3.6385409e-10 1.0000000e+00]
 [2.3097588e-11 1.0000000e+00]
 [1.0000000e+00 2.6503596e-11]]",[1 0 1 ... 1 1 0],9.238611542450315e-10,"tensor(2.2774e-15, device='cuda:0')","tensor(1509837.5000, device='cuda:0')","tensor(1509920.7500, device='cuda:0')",1.0,"tensor(-83816.0156, device='cuda:0')","[[9.8840823e-12 1.0000000e+00]
 [1.0000000e+00 3.8221416e-11]
 [2.3097588e-11 1.0000000e+00]
 ...
 [1.0000000e+00 8.9317609e-11]
 [7.6694942e-11 1.0000000e+00]
 [5.9070242e-11 1.0000000e+00]]",[1 0 1 ... 0 1 1],9.238224629726233e-10,"tensor(9.2169e-16, device='cuda:0')","tensor(167648.0312, device='cuda:0')","tensor(167713.7500, device='cuda:0')",1.0,"{0: 89822, 1: 155726}","{0: 9876, 1: 17408}",no_kmodes
3,73,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-2): 3 x Categorical()
  )
)","tensor(-751938.2500, device='cuda:0')","[[2.5720868e-11 1.0000000e+00 1.0376582e-11]
 [1.0000000e+00 3.3328031e-11 1.9135429e-11]
 [2.9686698e-11 3.9188534e-11 1.0000000e+00]
 ...
 [3.3340383e-10 1.0000000e+00 1.8263935e-10]
 [2.0785578e-11 1.0000000e+00 1.2606225e-11]
 [1.0000000e+00 3.0283477e-11 1.6766571e-11]]",[1 0 2 ... 1 1 0],0.05190349370241165,"tensor(4.2763e-15, device='cuda:0')","tensor(1503900.5000, device='cuda:0')","tensor(1504025.3750, device='cuda:0')",0.9770905375480652,"tensor(-83426.7500, device='cuda:0')","[[1.1083802e-11 1.0000000e+00 2.9584779e-11]
 [1.0000000e+00 4.1241531e-11 2.8766857e-11]
 [2.0785578e-11 1.0000000e+00 1.2606225e-11]
 ...
 [1.0000000e+00 7.7340565e-11 1.2660448e-10]
 [1.3065274e-10 9.1969175e-11 1.0000000e+00]
 [8.6908911e-11 7.5702590e-11 1.0000000e+00]]",[1 0 1 ... 0 2 2],0.05173594877123833,"tensor(1.7334e-15, device='cuda:0')","tensor(166877.5000, device='cuda:0')","tensor(166976.0625, device='cuda:0')",0.9771885871887207,"{0: 89822, 1: 116531, 2: 39195}","{0: 9876, 1: 13024, 2: 4384}",no_kmodes
