num_class,seed,model,loglik_train,post_train,labels_train,p_entropy_train,NEC_train,AIC_train,BIC_train,avg_max_post_train,loglik_eval,post_eval,labels_eval,p_entropy_eval,NEC_eval,AIC_eval,BIC_eval,avg_max_post_eval,class_counts_train,class_counts_eval,init
2,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-1): 2 x Categorical()
  )
)","tensor(-989717.6250, device='cuda:0')","[[2.7250152e-11 1.0000000e+00]
 [3.2097932e-11 1.0000000e+00]
 [5.9215646e-11 1.0000000e+00]
 ...
 [1.0000000e+00 2.3891724e-11]
 [1.0000000e+00 6.1099438e-11]
 [1.0000000e+00 5.3145401e-11]]",[1 1 1 ... 0 0 0],0.013804459944367409,"tensor(2.2229e-15, device='cuda:0')","tensor(1979451.2500, device='cuda:0')","tensor(1979534.7500, device='cuda:0')",0.9935330152511597,"tensor(-110007.1719, device='cuda:0')","[[1.1354788e-11 1.0000000e+00]
 [5.0514860e-11 1.0000000e+00]
 [1.0000000e+00 1.0628904e-10]
 ...
 [7.2150233e-12 1.0000000e+00]
 [1.0000000e+00 2.0087253e-11]
 [5.2260623e-11 1.0000000e+00]]",[1 1 0 ... 1 0 1],0.013703028671443462,"tensor(9.2474e-16, device='cuda:0')","tensor(220030.3438, device='cuda:0')","tensor(220096.2812, device='cuda:0')",0.9935976266860962,"{0: 87556, 1: 164843}","{0: 9730, 1: 18315}",no_kmodes
3,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-2): 3 x Categorical()
  )
)","tensor(-989688.8750, device='cuda:0')","[[9.0331217e-21 9.3177778e-11 1.0000000e+00]
 [4.7358114e-11 7.8894451e-21 1.0000000e+00]
 [8.7638841e-11 1.0412023e-20 1.0000000e+00]
 ...
 [1.0000000e+00 7.7325514e-11 2.3789866e-11]
 [1.0862236e-10 1.0000000e+00 6.2449185e-11]
 [1.0000000e+00 6.1490736e-11 5.4225860e-11]]",[2 2 2 ... 0 1 0],0.11876801401376724,"tensor(4.7138e-15, device='cuda:0')","tensor(1979401.7500, device='cuda:0')","tensor(1979527., device='cuda:0')",0.9459220767021179,"tensor(-110003.4531, device='cuda:0')","[[1.5900966e-11 2.2347544e-21 1.0000000e+00]
 [6.9383319e-11 1.4415407e-20 1.0000000e+00]
 [1.0000000e+00 5.2306791e-11 1.0380646e-10]
 ...
 [1.0853325e-11 1.2230644e-21 1.0000000e+00]
 [1.0000000e+00 6.0884922e-11 2.0432323e-11]
 [7.6195451e-21 1.8662101e-10 1.0000000e+00]]",[2 2 0 ... 2 0 2],0.11872683465480804,"tensor(1.9447e-15, device='cuda:0')","tensor(220030.9062, device='cuda:0')","tensor(220129.8125, device='cuda:0')",0.9459498524665833,"{0: 60181, 1: 27375, 2: 164843}","{0: 6710, 1: 3020, 2: 18315}",no_kmodes
4,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-3): 4 x Categorical()
  )
)","tensor(-982463.8750, device='cuda:0')","[[1.9944304e-20 2.0972880e-10 1.0000000e+00 1.3068265e-10]
 [4.8748967e-11 8.2249072e-21 1.9151567e-11 1.0000000e+00]
 [6.6704295e-11 8.0261375e-21 1.0000000e+00 3.4698525e-11]
 ...
 [1.0000000e+00 7.7325514e-11 2.0908777e-21 2.8581889e-11]
 [1.0862236e-10 1.0000000e+00 5.6957492e-21 7.4164487e-11]
 [1.0000000e+00 6.1490736e-11 3.7268093e-21 7.0429454e-11]]",[2 3 2 ... 0 1 0],0.09061130881309509,"tensor(5.0380e-15, device='cuda:0')","tensor(1964959.7500, device='cuda:0')","tensor(1965126.7500, device='cuda:0')",0.957241415977478,"tensor(-109117.3281, device='cuda:0')","[[1.4154810e-11 2.0280407e-21 8.0684764e-12 1.0000000e+00]
 [6.9272782e-11 1.4672274e-20 1.3234086e-11 1.0000000e+00]
 [1.0000000e+00 5.2306791e-11 6.2385417e-21 1.3987829e-10]
 ...
 [9.9610910e-12 1.1368641e-21 1.1676210e-11 1.0000000e+00]
 [1.0000000e+00 6.0884922e-11 8.4869278e-11 1.3128074e-21]
 [9.1654375e-21 2.2884872e-10 1.0000000e+00 5.8914630e-11]]",[3 3 0 ... 3 0 2],0.09060836583375931,"tensor(2.0774e-15, device='cuda:0')","tensor(218266.6562, device='cuda:0')","tensor(218398.5156, device='cuda:0')",0.9571906328201294,"{0: 60181, 1: 27375, 2: 41296, 3: 123547}","{0: 6710, 1: 3020, 2: 4569, 3: 13746}",no_kmodes
5,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-4): 5 x Categorical()
  )
)","tensor(-971386.3750, device='cuda:0')","[[1.17406496e-09 2.87117583e-08 4.00710143e-02 3.05851907e-01
  6.54077113e-01]
 [7.31567323e-01 1.49166646e-09 5.89237079e-12 2.68432707e-01
  1.18833510e-09]
 [8.83377433e-01 4.91789030e-03 9.06429632e-05 4.23972420e-02
  6.92166463e-02]
 ...
 [9.15221095e-01 1.16705445e-09 1.55264630e-07 8.47790167e-02
  1.02864614e-16]
 [1.31019959e-08 1.00000000e+00 1.32621992e-07 3.98088389e-08
  4.54603430e-08]
 [9.10431802e-01 3.66958231e-03 1.38866145e-08 7.27347061e-02
  1.31639075e-02]]",[4 0 0 ... 0 1 0],0.2620536684989929,"tensor(8.6803e-07, device='cuda:0')","tensor(1942812.7500, device='cuda:0')","tensor(1943021.5000, device='cuda:0')",0.8837171792984009,"tensor(-107854.0469, device='cuda:0')","[[6.99786395e-10 6.92607915e-10 1.34887101e-09 3.88898849e-01
  6.11101091e-01]
 [1.08336105e-08 3.98723735e-15 2.67831837e-08 1.00000000e+00
  9.29724742e-09]
 [6.40559018e-01 2.19657319e-03 8.47269135e-08 3.57244432e-01
  7.32597414e-08]
 ...
 [2.05442250e-01 1.12649333e-03 1.29015483e-12 4.53852713e-01
  3.39578629e-01]
 [7.83516407e-01 3.16449115e-03 1.91442877e-01 1.65044852e-02
  5.37184207e-03]
 [6.69996510e-17 1.47895446e-06 1.58319578e-01 5.34856426e-08
  8.41678977e-01]]",[4 3 0 ... 3 0 4],0.26204556226730347,"tensor(3.6317e-07, device='cuda:0')","tensor(215748.0938, device='cuda:0')","tensor(215912.9219, device='cuda:0')",0.8837305903434753,"{0: 90608, 1: 34803, 2: 35864, 3: 33327, 4: 57797}","{0: 10040, 1: 3861, 2: 4016, 3: 3768, 4: 6360}",no_kmodes
6,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-5): 6 x Categorical()
  )
)","tensor(-970966.2500, device='cuda:0')","[[5.8069052e-09 3.0783176e-09 5.8545184e-01 2.2112060e-01 1.9342735e-01
  1.2991032e-09]
 [1.0316863e-02 7.8771472e-01 5.9871951e-08 2.0196807e-01 4.9674936e-10
  4.0312196e-07]
 [9.4671501e-03 4.4996998e-01 1.2860100e-01 3.5791643e-02 8.4623152e-06
  3.7616196e-01]
 ...
 [6.2954211e-01 3.5211053e-01 4.0905899e-08 1.8345580e-02 6.4022518e-18
  1.7656222e-06]
 [9.9416892e-09 6.7116529e-01 2.5112280e-07 2.5563834e-10 6.8605011e-09
  3.2883418e-01]
 [4.1018922e-02 7.6970327e-01 3.2495762e-14 9.6568428e-02 1.7834292e-13
  9.2709355e-02]]",[2 1 1 ... 0 1 1],0.2688981592655182,"tensor(1.0327e-06, device='cuda:0')","tensor(1941980.5000, device='cuda:0')","tensor(1942231., device='cuda:0')",0.8797838091850281,"tensor(-107800.7500, device='cuda:0')","[[2.48349480e-10 2.41286480e-09 2.86152215e-07 9.99639571e-01
  3.60209640e-04 3.88729826e-10]
 [1.33285685e-08 2.19205472e-08 3.51261008e-07 9.99999523e-01
  4.22354551e-09 7.49706490e-14]
 [1.50421664e-01 4.97010648e-01 4.27326256e-07 2.35169291e-01
  7.00192898e-12 1.17398024e-01]
 ...
 [6.60761376e-04 2.98034668e-01 1.67651976e-07 6.93974078e-01
  1.45624057e-04 7.18473457e-03]
 [1.24352112e-01 3.37557942e-01 2.51600412e-08 1.04620000e-02
  2.02038415e-14 5.27628005e-01]
 [2.92395323e-16 8.39668779e-09 7.65059769e-01 6.91758928e-10
  2.34940186e-01 3.64129384e-08]]",[3 3 1 ... 3 5 2],0.2684342563152313,"tensor(4.3181e-07, device='cuda:0')","tensor(215649.5000, device='cuda:0')","tensor(215847.2969, device='cuda:0')",0.8798906207084656,"{0: 25746, 1: 110678, 2: 12047, 3: 45571, 4: 28050, 5: 30307}","{0: 2876, 1: 12244, 2: 1281, 3: 5117, 4: 3148, 5: 3379}",no_kmodes
7,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-6): 7 x Categorical()
  )
)","tensor(-970923.1250, device='cuda:0')","[[3.05685055e-09 5.26176880e-11 5.00820577e-02 ... 5.75560153e-01
  2.07712967e-02 4.22718038e-09]
 [1.74650010e-02 7.07816422e-01 6.90024180e-08 ... 5.19642754e-07
  5.36102884e-10 4.23118239e-03]
 [4.13560271e-02 4.95031616e-03 8.67146909e-01 ... 3.85129824e-02
  1.00043675e-04 1.24362065e-02]
 ...
 [4.88989735e-06 8.81345943e-02 2.22560230e-12 ... 3.96418492e-15
  3.50062090e-09 8.36670697e-01]
 [5.61446668e-13 1.99549600e-01 5.16397211e-12 ... 3.49363050e-09
  8.00450623e-01 3.12840029e-08]
 [4.74957138e-01 4.65226382e-01 6.40737767e-12 ... 5.43263390e-09
  9.19376253e-05 1.34370781e-08]]",[4 1 2 ... 6 5 0],0.24761824309825897,"tensor(9.4915e-07, device='cuda:0')","tensor(1941902.2500, device='cuda:0')","tensor(1942194.5000, device='cuda:0')",0.8870514035224915,"tensor(-107798.0391, device='cuda:0')","[[1.1564472e-09 4.6325477e-09 5.0961044e-09 ... 6.5624303e-01
  2.4790415e-06 7.4761747e-10]
 [1.5931805e-08 3.4818843e-08 3.3096864e-08 ... 4.6124128e-06
  7.0476658e-10 1.4729340e-08]
 [4.4338999e-06 1.4647956e-01 4.2807897e-12 ... 7.0455459e-09
  1.5381904e-04 5.3048730e-01]
 ...
 [4.8281401e-03 3.5865498e-01 4.0463970e-08 ... 2.8157419e-01
  7.1818940e-06 8.1791566e-04]
 [9.8193568e-01 2.3914094e-03 4.1030522e-05 ... 1.9031892e-09
  3.0673653e-04 4.5252371e-08]
 [1.5414273e-15 1.6516936e-10 2.0043391e-01 ... 5.8042294e-01
  2.1914324e-01 7.5597786e-16]]",[4 3 6 ... 1 0 4],0.24717488884925842,"tensor(3.9672e-07, device='cuda:0')","tensor(215652.0781, device='cuda:0')","tensor(215882.8438, device='cuda:0')",0.8872726559638977,"{0: 21951, 1: 68703, 2: 22960, 3: 23272, 4: 55618, 5: 15165, 6: 44730}","{0: 2421, 1: 7578, 2: 2538, 3: 2630, 4: 6156, 5: 1714, 6: 5008}",no_kmodes
8,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-7): 8 x Categorical()
  )
)","tensor(-970745.6250, device='cuda:0')","[[2.08575195e-13 1.07743085e-11 1.17214043e-02 ... 8.88072029e-02
  8.85901041e-03 3.93972778e-06]
 [1.18586833e-07 1.33295372e-01 5.82979381e-01 ... 6.05855689e-15
  7.18782367e-09 1.31603777e-08]
 [5.71729743e-07 3.65264481e-04 8.92261565e-01 ... 2.55536694e-12
  3.29306253e-08 1.07372671e-01]
 ...
 [6.14186935e-03 4.00886387e-01 5.25642863e-05 ... 9.64556079e-09
  5.29351711e-01 6.10953899e-10]
 [8.66701375e-05 5.03912210e-01 1.52041495e-04 ... 4.95849043e-01
  2.17480931e-08 8.86907159e-10]
 [3.03571552e-01 6.22271478e-01 7.27354404e-07 ... 4.06485583e-07
  1.89424966e-07 7.41556510e-02]]",[4 2 2 ... 6 1 1],0.29046738147735596,"tensor(8.4657e-07, device='cuda:0')","tensor(1941555.2500, device='cuda:0')","tensor(1941889.2500, device='cuda:0')",0.8709467053413391,"tensor(-107770.1094, device='cuda:0')","[[1.7821346e-08 1.0641567e-09 6.0002771e-03 ... 1.7045549e-08
  3.0729680e-03 9.9092662e-01]
 [2.0568318e-07 1.5360325e-08 4.8633892e-02 ... 3.2639522e-09
  5.2866001e-02 5.9173292e-08]
 [7.6776333e-03 4.0069279e-01 9.3564078e-05 ... 7.2674283e-07
  4.4392699e-01 1.4760835e-01]
 ...
 [3.4073953e-08 3.0624133e-02 2.3852295e-01 ... 1.0492560e-13
  1.3855547e-09 7.3085290e-01]
 [9.7461623e-01 1.8411521e-03 5.9972899e-07 ... 1.8739182e-06
  8.0695276e-07 2.3539333e-02]
 [4.5267887e-09 2.7751912e-11 5.6346778e-02 ... 3.7576953e-01
  4.4948520e-09 1.3246303e-08]]",[7 3 6 ... 7 0 4],0.29015493392944336,"tensor(3.5323e-07, device='cuda:0')","tensor(215604.2188, device='cuda:0')","tensor(215867.9531, device='cuda:0')",0.8711487054824829,"{0: 8244, 1: 25914, 2: 66233, 3: 22729, 4: 39727, 5: 16046, 6: 40043, 7: 33463}","{0: 902, 1: 2856, 2: 7329, 3: 2550, 4: 4349, 5: 1789, 6: 4527, 7: 3743}",no_kmodes
9,42,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-8): 9 x Categorical()
  )
)","tensor(-970727.2500, device='cuda:0')","[[1.6262755e-14 9.6705803e-12 1.7774738e-08 ... 1.9167860e-04
  5.1105684e-09 8.2323009e-01]
 [1.4476672e-07 1.9251433e-01 5.4286325e-01 ... 4.5627937e-07
  1.8539330e-08 4.7931187e-10]
 [5.7309717e-07 2.6762940e-04 9.6518046e-01 ... 2.0295247e-06
  3.9016090e-06 3.4545343e-02]
 ...
 [1.6670942e-02 3.8019353e-01 8.4674166e-06 ... 5.3202116e-01
  1.4442183e-09 1.5650364e-10]
 [3.8855846e-04 5.2662313e-01 2.5558342e-05 ... 2.9211833e-08
  1.2499455e-09 1.1494585e-09]
 [3.8733500e-01 5.3111827e-01 1.3901541e-07 ... 3.5468425e-08
  8.1546508e-02 4.6736763e-16]]",[8 2 2 ... 6 1 1],0.15816406905651093,"tensor(8.0898e-07, device='cuda:0')","tensor(1941526.5000, device='cuda:0')","tensor(1941902.2500, device='cuda:0')",0.9280490875244141,"tensor(-107774.3438, device='cuda:0')","[[2.15436469e-08 1.44248113e-09 8.19789303e-09 ... 7.15248607e-05
  9.99928474e-01 1.40906149e-08]
 [2.04732473e-07 2.39069866e-08 3.67800936e-08 ... 1.25623285e-03
  1.14036666e-07 1.20332997e-08]
 [2.59310137e-02 3.39092135e-01 2.78976277e-05 ... 4.47757930e-01
  1.87190905e-01 2.70892708e-09]
 ...
 [5.16083212e-08 3.93520743e-02 4.09919024e-01 ... 8.80108502e-08
  5.50728559e-01 1.90143679e-09]
 [9.99163032e-01 8.35222483e-04 1.22847624e-07 ... 1.47661694e-07
  1.18411731e-06 1.07849552e-08]
 [5.51658541e-09 2.33382723e-11 4.39679901e-08 ... 1.28695624e-10
  6.42286517e-13 9.14008200e-01]]",[7 3 6 ... 7 0 8],0.1582125425338745,"tensor(3.3844e-07, device='cuda:0')","tensor(215620.6875, device='cuda:0')","tensor(215917.3906, device='cuda:0')",0.9280165433883667,"{0: 8244, 1: 25914, 2: 72559, 3: 20912, 4: 32563, 5: 15595, 6: 39500, 7: 27397, 8: 9715}","{0: 902, 1: 2856, 2: 7975, 3: 2333, 4: 3611, 5: 1735, 6: 4447, 7: 3127, 8: 1059}",no_kmodes
2,73,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-1): 2 x Categorical()
  )
)","tensor(-989717.6250, device='cuda:0')","[[1.0000000e+00 2.7250152e-11]
 [1.0000000e+00 3.2097932e-11]
 [1.0000000e+00 5.9215646e-11]
 ...
 [2.3891724e-11 1.0000000e+00]
 [6.1099438e-11 1.0000000e+00]
 [5.3145401e-11 1.0000000e+00]]",[0 0 0 ... 1 1 1],1.3531840092895209e-09,"tensor(2.2229e-15, device='cuda:0')","tensor(1979451.2500, device='cuda:0')","tensor(1979534.7500, device='cuda:0')",1.0,"tensor(-110007.1719, device='cuda:0')","[[1.0000000e+00 1.1354788e-11]
 [1.0000000e+00 5.0514860e-11]
 [1.0628904e-10 1.0000000e+00]
 ...
 [1.0000000e+00 7.2150233e-12]
 [2.0087253e-11 1.0000000e+00]
 [1.0000000e+00 5.2260623e-11]]",[0 0 1 ... 0 1 0],1.3534016130023474e-09,"tensor(9.2474e-16, device='cuda:0')","tensor(220030.3438, device='cuda:0')","tensor(220096.2812, device='cuda:0')",1.0,"{0: 164843, 1: 87556}","{0: 18315, 1: 9730}",no_kmodes
3,73,"GeneralMixtureModel(
  (distributions): ModuleList(
    (0-2): 3 x Categorical()
  )
)","tensor(-988062.1250, device='cuda:0')","[[8.8909845e-11 2.3323900e-11 1.0000000e+00]
 [1.0000000e+00 2.9421757e-11 5.5539753e-11]
 [1.0000000e+00 5.1638169e-11 2.5131517e-11]
 ...
 [4.4422774e-11 1.0000000e+00 3.4014378e-21]
 [3.9083605e-21 1.0000000e+00 1.3199630e-10]
 [9.7576301e-11 1.0000000e+00 3.8805943e-21]]",[2 0 0 ... 1 1 1],0.18143437802791595,"tensor(3.9314e-15, device='cuda:0')","tensor(1976148.2500, device='cuda:0')","tensor(1976273.5000, device='cuda:0')",0.9160601496696472,"tensor(-109809.9688, device='cuda:0')","[[1.0000000e+00 1.4563604e-11 5.3239451e-11]
 [1.0000000e+00 6.1174184e-11 9.2598790e-11]
 [1.8659788e-10 1.0000000e+00 8.2146854e-21]
 ...
 [1.0000000e+00 7.0043468e-12 3.1932387e-11]
 [3.8766487e-11 1.0000000e+00 1.3776696e-21]
 [2.7399730e-11 4.7953017e-11 1.0000000e+00]]",[0 0 1 ... 0 1 2],0.181647390127182,"tensor(1.6204e-15, device='cuda:0')","tensor(219643.9375, device='cuda:0')","tensor(219742.8438, device='cuda:0')",0.9159541130065918,"{0: 90640, 1: 87556, 2: 74203}","{0: 10175, 1: 9730, 2: 8140}",no_kmodes
